,Transcript_Annotation,Transcript_Clusters
17,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003hze.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003hze.2.csv
18,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ykr.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ykr.2.csv
19,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001ibv.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001ibv.2.csv
20,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hfr.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hfr.4.csv
21,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003lvo.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003lvo.4.csv
22,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001pxl.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001pxl.2.csv
23,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011cmu.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011cmu.2.csv
24,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003slf.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003slf.1.csv
25,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001iyw.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001iyw.4.csv
26,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010bxg.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010bxg.3.csv
27,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgc.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgc.3.csv
28,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001onw.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001onw.3.csv
29,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003slh.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003slh.1.csv
30,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021zic.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021zic.1.csv
31,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021pmm.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021pmm.1.csv
32,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021ymj.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021ymj.2.csv
33,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001onu.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001onu.3.csv
34,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001pyw.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001pyw.2.csv
35,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lqh.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lqh.2.csv
36,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002hnp.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002hnp.1.csv
37,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003xrf.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003xrf.4.csv
38,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003hzg.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003hzg.4.csv
39,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003vcw.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003vcw.1.csv
40,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003pjp.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003pjp.2.csv
41,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010pvz.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010pvz.1.csv
42,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010xcj.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010xcj.1.csv
43,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031sij.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031sij.1.csv
44,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011bpz.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011bpz.2.csv
45,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jdx.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jdx.1.csv
46,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jau.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jau.2.csv
47,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002aed.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002aed.3.csv
48,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003wyz.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003wyz.3.csv
49,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgg.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgg.3.csv
50,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ysj.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ysj.3.csv
51,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc009yrj.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc009yrj.3.csv
52,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001doa.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001doa.4.csv
53,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ndq.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ndq.3.csv
54,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004eud.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004eud.3.csv
55,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011loe.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011loe.1.csv
56,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002fck.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002fck.3.csv
57,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004csq.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004csq.4.csv
58,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003esb.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003esb.2.csv
59,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc022bqs.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc022bqs.1.csv
60,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011mfc.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011mfc.2.csv
61,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jas.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jas.3.csv
62,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003xyk.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003xyk.3.csv
63,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002rum.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002rum.3.csv
64,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031tds.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031tds.1.csv
65,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002dmm.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002dmm.3.csv
66,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010stk.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010stk.2.csv
67,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010yqw.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010yqw.1.csv
68,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010fcl.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010fcl.3.csv
69,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ysb.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ysb.3.csv
70,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lkk.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lkk.2.csv
71,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ypn.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ypn.2.csv
72,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ezo.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ezo.3.csv
73,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011aaq.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011aaq.2.csv
74,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lki.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lki.2.csv
75,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003csb.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003csb.2.csv
76,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003pdl.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003pdl.4.csv
77,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ysl.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ysl.3.csv
78,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010xrv.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010xrv.2.csv
79,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003pdn.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003pdn.2.csv
80,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jhh.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jhh.2.csv
81,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010rqd.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010rqd.2.csv
82,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031tdo.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031tdo.1.csv
83,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011clz.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011clz.1.csv
84,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ndr.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ndr.3.csv
85,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011cnn.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011cnn.1.csv
86,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002isq.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002isq.3.csv
87,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001kmp.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001kmp.3.csv
88,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003qup.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003qup.1.csv
89,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002ikn.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002ikn.1.csv
90,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011bbc.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011bbc.1.csv
91,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003wza.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003wza.3.csv
92,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ezp.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ezp.3.csv
93,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ihi.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003ihi.2.csv
94,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003kol.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003kol.3.csv
95,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hvy.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hvy.1.csv
96,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010mlt.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010mlt.3.csv
97,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgm.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgm.3.csv
98,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010rog.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010rog.2.csv
99,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010mdp.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010mdp.2.csv
100,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001odz.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001odz.3.csv
101,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgi.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001hgi.3.csv
102,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003nda.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003nda.2.csv
103,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001mty.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001mty.3.csv
104,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002aeb.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002aeb.3.csv
105,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc009vqk.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc009vqk.3.csv
106,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002hnm.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002hnm.3.csv
107,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002nvf.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002nvf.3.csv
108,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003zxh.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003zxh.2.csv
109,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001aje.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001aje.2.csv
110,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jbf.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jbf.3.csv
111,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002iss.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002iss.3.csv
112,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011bmf.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011bmf.2.csv
113,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004cov.5annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004cov.5.csv
114,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021vew.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021vew.1.csv
115,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010wmw.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010wmw.2.csv
116,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004cer.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc004cer.3.csv
117,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002sia.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002sia.3.csv
118,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011log.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011log.1.csv
119,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003csf.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003csf.3.csv
120,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002fng.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002fng.1.csv
121,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031rcw.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031rcw.1.csv
