,transcript,MiSeqSFPQc.csv,MiSeqNONOc.csv,HuRc_conversionc,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
10,uc010qet.2,['G343.1'],,,uc010qet.2,chr10,+,35625801,35860847,35790461,35858098,8,"35625801,35772331,35790428,35818900,35819051,35841946,35854950,35857981,","35626135,35772406,35790463,35818958,35819171,35842113,35855113,35860847,",B7Z8E4,uc010qet.2,8119,uc010qet.2,AK303283,B7Z8E4,B7Z8E4_HUMAN,CCNY,,,"Homo sapiens cyclin Y (CCNY), transcript variant 1, mRNA.",,
11,uc010ksi.1,['G3186.1'],,,uc010ksi.1,chr7,-,1914095,2272583,1914141,2269768,17,"1914095,1937835,1976322,1997263,2020087,2041699,2054136,2108828,2188786,2252846,2255519,2255791,2257596,2258966,2262209,2269618,2272506,","1914180,1938026,1976533,1997354,2020176,2041756,2054277,2108973,2188873,2252908,2255634,2255922,2257678,2259091,2262389,2269778,2272583,",Q9Y6D9,uc010ksi.1,70119,uc010ksi.1,AK310481,Q9Y6D9,MD1L1_HUMAN,MAD1L1,NM_003550,NP_003541,"Homo sapiens MAD1 mitotic arrest deficient-like 1 (yeast) (MAD1L1), transcript variant 3, mRNA.",,
12,uc003jhp.1,['G2750.1'],,['G4112.1' 'G4113.1'],uc003jhp.1,chr5,-,32124823,32174425,32126317,32174140,4,"32124823,32135677,32143854,32173915,","32126742,32135792,32143986,32174425,",Q9H4A6,uc003jhp.1,58800,uc003jhp.1,NM_022130,Q9H4A6,GOLP3_HUMAN,GOLPH3,NM_022130,NP_071413,"Homo sapiens golgi phosphoprotein 3 (coat-protein) (GOLPH3), mRNA.",,
13,uc002rnj.3,['G1746.1'],,,uc002rnj.3,chr2,+,30670122,30867091,30682478,30863485,7,"30670122,30682417,30748452,30755981,30785011,30790925,30862982,","30670270,30682588,30748621,30756180,30785158,30791042,30867091,",Q6UWP7,uc002rnj.3,40515,uc002rnj.3,NM_182551,Q6UWP7,LCLT1_HUMAN,LCLAT1,NM_182551,NP_001002257,"Homo sapiens lysocardiolipin acyltransferase 1 (LCLAT1), transcript variant 1, mRNA.",,
14,uc031sil.1,['G2566.1'],,,uc031sil.1,chr5,+,271735,315089,271835,314630,4,"271735,272825,311407,314531,","271936,272887,311517,315089,",NP_001254486,uc031sil.1,56980,uc031sil.1,NM_001267557,O75340,PDCD6_HUMAN,PDCD6,NM_001267557,NP_001254486,"Homo sapiens programmed cell death 6 (PDCD6), transcript variant 3, mRNA.",,
15,uc031rct.1,['G1438.1'],,,uc031rct.1,chr17,+,44590075,44627209,44590078,44627209,8,"44590075,44594727,44597577,44600449,44601169,44618172,44623620,44625677,","44592687,44594799,44597649,44600521,44601250,44618247,44623739,44627209,",A6NM11,uc031rct.1,31075,uc031rct.1,JQ790735,A6NM11,L37A2_HUMAN,LRRC37A2,NM_001006607,NP_001006608,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
16,uc021xqo.1,['G2533.1'],,,uc021xqo.1,chr4,-,109733859,110223231,109735082,110223175,37,"109733859,109738552,109740407,109745329,109746351,109748290,109753535,109762850,109765674,109766344,109767294,109769914,109773391,109774057,109780811,109782082,109783656,109784474,109790243,109805333,109810376,109810856,109817822,109820309,109822274,109839327,109841733,109858963,109861694,109862521,109895522,109895688,109931513,109969323,109971290,110221738,110222878,","109735085,109738591,109740485,109745383,109746378,109748344,109753589,109762877,109765725,109766407,109767375,109769959,109773436,109774081,109780889,109782127,109783701,109784543,109790306,109805378,109810412,109810889,109817867,109820336,109822328,109839372,109841760,109858999,109861802,109862593,109895549,109895715,109931531,109969331,109971335,110221808,110223231,",Q9BXS0,uc021xqo.1,56467,uc021xqo.1,CCDS43258,Q9BXS0,COPA1_HUMAN,COL25A1,NM_198721,NP_942014,"Homo sapiens collagen, type XXV, alpha 1 (COL25A1), transcript variant 1, mRNA.",,
17,uc003hze.2,['G2533.1'],,,uc003hze.2,chr4,-,109731876,110223799,109735082,110223175,37,"109731876,109738552,109740407,109745329,109746351,109748290,109753535,109762850,109765674,109766344,109767294,109769914,109773391,109774057,109780811,109782082,109783656,109784474,109790243,109805333,109810376,109810856,109817822,109820309,109822274,109839327,109841733,109858963,109861694,109862521,109895522,109895688,109931513,109971282,110221738,110222878,110223324,","109735085,109738591,109740485,109745383,109746378,109748344,109753589,109762877,109765725,109766407,109767375,109769959,109773436,109774081,109780889,109782127,109783701,109784543,109790306,109805378,109810412,109810889,109817867,109820336,109822328,109839372,109841760,109858999,109861802,109862593,109895549,109895715,109931531,109971335,110221808,110223231,110223799,",Q9BXS0,uc003hze.2,56463,uc003hze.2,NM_198721,Q9BXS0,COPA1_HUMAN,COL25A1,NM_198721,NP_942014,"Homo sapiens collagen, type XXV, alpha 1 (COL25A1), transcript variant 1, mRNA.",,
18,uc003ykr.2,['G3425.1'],,,uc003ykr.2,chr8,-,103264501,103424917,103266529,103424462,59,"103264501,103269859,103271212,103273373,103274142,103276701,103277327,103279174,103281205,103282266,103283361,103284756,103287748,103287935,103289199,103291053,103291263,103292621,103293516,103297354,103297740,103298587,103299660,103300382,103301680,103305832,103306182,103307209,103307431,103307641,103307863,103309120,103309685,103310619,103311075,103311679,103312227,103316270,103317312,103323526,103323962,103324361,103324569,103326031,103326971,103335538,103338773,103339969,103341317,103341510,103354700,103357623,103358463,103359130,103372298,103372816,103373352,103373809,103424400,","103266742,103269945,103271357,103273487,103274298,103276786,103277506,103279235,103281336,103282411,103283473,103285000,103287847,103288056,103289420,103291167,103291436,103292695,103293747,103297566,103298009,103298845,103299792,103300494,103301804,103306072,103306343,103307339,103307558,103307760,103308010,103309212,103309834,103310717,103311199,103311775,103312379,103316397,103317523,103323724,103324117,103324473,103324713,103326144,103327081,103335723,103338891,103340124,103341428,103341627,103354912,103357773,103358623,103359320,103372418,103372893,103373434,103373854,103424917,",O95071,uc003ykr.2,73930,uc003ykr.2,NM_015902,O95071,UBR5_HUMAN,UBR5,NM_015902,NP_056986,"Homo sapiens ubiquitin protein ligase E3 component n-recognin 5 (UBR5), mRNA.",,
19,uc001ibv.2,['G312.1'],,,uc001ibv.2,chr1,-,247002401,247094726,247004107,247094629,36,"247002401,247005995,247007096,247012916,247016392,247019031,247020992,247024200,247025260,247027225,247030545,247030962,247039338,247040251,247040459,247048794,247050512,247051478,247051695,247053267,247054257,247055080,247057960,247059136,247061509,247062752,247063366,247063638,247065826,247067250,247068842,247070852,247076533,247079443,247081551,247094609,","247004300,247006078,247007230,247014744,247016601,247019129,247021116,247024597,247025455,247027418,247030653,247031113,247039489,247040383,247040604,247048982,247050659,247051535,247051819,247053361,247054362,247055221,247058050,247059227,247061638,247062814,247063548,247063771,247065977,247067335,247068959,247071060,247076714,247079697,247081679,247094726,",Q8WYP5-3,uc001ibv.2,7685,uc001ibv.2,NM_015446,Q8WYP5-3,Q8WYP5-3,AHCTF1,NM_015446,NP_056261,"Homo sapiens AT hook containing transcription factor 1 (AHCTF1), mRNA.",,
20,uc001hfr.4,['G134.1' 'G134.2'],['G104.1' 'G105.1'],,uc001hfr.4,chr1,+,207494816,207534311,207495110,207533014,11,"207494816,207495726,207497903,207498966,207500096,207504452,207510037,207510673,207512741,207513735,207532890,","207495210,207495912,207498095,207499066,207500182,207504641,207510163,207510754,207512762,207513853,207534311,",P08174-2,uc001hfr.4,3468,uc001hfr.4,NM_001114752,P08174-2,P08174-2,CD55,NM_001114752,NP_001108224,"Homo sapiens CD55 molecule, decay accelerating factor for complement (Cromer blood group) (CD55), transcript variant 2, mRNA.",,
21,uc003lvo.4,['G2714.1' 'G2715.1'],['G2184.1'],,uc003lvo.4,chr5,+,154092461,154197167,154092485,154193656,19,"154092461,154169884,154170204,154172181,154173154,154173359,154173659,154174734,154179150,154179432,154181566,154182849,154183099,154183760,154185440,154188018,154190806,154191072,154193446,","154092690,154169946,154170270,154172356,154173283,154173560,154173822,154174879,154179319,154179602,154181959,154182973,154183305,154183867,154185592,154188163,154190916,154191200,154197167,",Q6PKG0-3,uc003lvo.4,58319,uc003lvo.4,NM_015315,Q6PKG0-3,Q6PKG0-3,LARP1,NM_015315,NP_056130,"Homo sapiens La ribonucleoprotein domain family, member 1 (LARP1), mRNA.",,
22,uc001pxl.2,['G684.1'],,,uc001pxl.2,chr11,+,120207617,120360645,120207952,120355786,41,"120207617,120276826,120278446,120280102,120291461,120292511,120295066,120298777,120300148,120300420,120302479,120308016,120310837,120312415,120312812,120316130,120317111,120317656,120318582,120318942,120319817,120322220,120327826,120328429,120328788,120329882,120331380,120335945,120337902,120339996,120343758,120345268,120346048,120347369,120347927,120348155,120348864,120350668,120351968,120355146,120355775,","120207984,120276850,120278532,120280159,120291560,120292561,120295124,120298956,120300226,120300540,120302620,120308091,120310930,120312526,120312911,120316173,120317217,120317794,120318615,120319057,120319923,120322433,120327959,120328465,120328943,120330029,120331466,120336071,120338017,120340097,120343836,120345344,120346216,120347457,120348014,120348235,120349098,120351139,120352285,120355216,120360645,",Q9NZN5,uc001pxl.2,13069,uc001pxl.2,NM_015313,Q9NZN5,ARHGC_HUMAN,ARHGEF12,NM_015313,NP_056128,"Homo sapiens Rho guanine nucleotide exchange factor (GEF) 12 (ARHGEF12), transcript variant 1, mRNA.",,
23,uc011cmu.2,['G2602.1' 'G2603.1'],,['G3912.1'],uc011cmu.2,chr5,+,10353750,10440500,10354010,10433796,25,"10353750,10377909,10378870,10387105,10390443,10391653,10394193,10394864,10397404,10400895,10402170,10402495,10402644,10403518,10405669,10407213,10410250,10411444,10414544,10415599,10417381,10423846,10426501,10430004,10433705,","10354029,10378006,10378944,10387178,10390612,10391843,10394255,10394897,10397456,10400954,10402251,10402564,10402719,10403653,10405789,10407314,10410388,10411649,10414614,10415781,10417516,10423936,10426634,10430140,10440500,",B4DT33,uc011cmu.2,57044,uc011cmu.2,NM_001270660,B4DT33,B4DT33_HUMAN,MARCH6,NM_001270660,NP_001257589,"Homo sapiens membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase (MARCH6), transcript variant 2, mRNA.",,
24,uc003slf.1,['G3186.1'],,,uc003slf.1,chr7,-,1855427,2272583,1855705,2269768,19,"1855427,1937835,1976322,1997263,2020087,2041699,2054136,2108828,2188786,2252846,2255519,2255791,2257596,2258966,2262209,2265044,2269618,2270183,2272506,","1855864,1938026,1976533,1997354,2020176,2041756,2054277,2108973,2188873,2252908,2255634,2255922,2257678,2259091,2262389,2265185,2269778,2270399,2272583,",Q9Y6D9,uc003slf.1,70114,uc003slf.1,NM_003550,Q9Y6D9,MD1L1_HUMAN,MAD1L1,NM_003550,NP_003541,"Homo sapiens MAD1 mitotic arrest deficient-like 1 (yeast) (MAD1L1), transcript variant 1, mRNA.",,
25,uc001iyw.4,['G343.1'],,,uc001iyw.4,chr10,+,35625801,35860847,35625981,35858098,10,"35625801,35772331,35790428,35805450,35814891,35818900,35819051,35841946,35854950,35857981,","35626135,35772406,35790463,35805551,35814927,35818958,35819171,35842113,35855113,35860847,",Q8ND76,uc001iyw.4,8115,uc001iyw.4,NM_145012,Q8ND76,CCNY_HUMAN,CCNY,NM_145012,NP_859049,"Homo sapiens cyclin Y (CCNY), transcript variant 1, mRNA.",,
26,uc010bxg.3,['G1271.1' 'G1272.1' 'G1273.1'],['G1043.1' 'G1050.1' 'G1052.1'],,uc010bxg.3,chr16,+,22503061,22547841,22525122,22547706,9,"22503061,22524744,22525084,22535140,22538886,22539098,22543380,22543550,22544946,","22503107,22524842,22525242,22535269,22538986,22539294,22543441,22543586,22547841,",A8MRT5,uc010bxg.3,27259,uc010bxg.3,BC110658,A8MRT5,K220L_HUMAN,LOC100132247,NM_001135865,NP_001129337,"Homo sapiens nuclear pore complex interacting protein related gene (LOC100132247), mRNA.",,
27,uc001hgc.3,['G136.1'],,,uc001hgc.3,chr1,+,207925382,207968861,207925557,207963649,14,"207925382,207930358,207930884,207932983,207934593,207940357,207940951,207941123,207943665,207956636,207958415,207958963,207963597,207966863,","207925654,207930547,207930987,207933069,207934791,207940540,207940996,207941168,207943707,207956675,207958451,207959027,207963690,207968861,",P15529,uc001hgc.3,3488,uc001hgc.3,NM_002389,P15529,MCP_HUMAN,CD46,NM_002389,NP_002380,"Homo sapiens CD46 molecule, complement regulatory protein (CD46), transcript variant a, mRNA.",,
28,uc001onw.3,['G649.1'],,,uc001onw.3,chr11,+,68228185,68382801,68305132,68380585,24,"68228185,68286968,68305126,68312305,68315534,68318588,68321612,68326033,68331770,68334481,68337215,68338507,68341576,68343425,68350510,68355394,68358127,68359043,68363564,68367808,68369330,68370809,68377371,68380533,","68228295,68287119,68305359,68312492,68315672,68318654,68321725,68326147,68331900,68334634,68337365,68338572,68341692,68343511,68350597,68355492,68358182,68359174,68363686,68367962,68369437,68370960,68377491,68382801,",Q5H9R7,uc001onw.3,12375,uc001onw.3,NM_001164161,Q5H9R7,PP6R3_HUMAN,PPP6R3,NM_001164161,NP_001157633,"Homo sapiens protein phosphatase 6, regulatory subunit 3 (PPP6R3), transcript variant 6, mRNA.",,
29,uc003slh.1,['G3186.1'],,,uc003slh.1,chr7,-,1855427,2272583,1855705,2269768,19,"1855427,1937835,1976322,1997263,2020087,2041699,2054136,2108828,2188786,2252846,2255519,2255791,2257596,2258966,2262209,2265044,2269618,2270183,2272506,","1855864,1938026,1976533,1997354,2020176,2041756,2054277,2108973,2188873,2252908,2255634,2255922,2257678,2259091,2262389,2265185,2269778,2270362,2272583,",Q9Y6D9,uc003slh.1,70113,uc003slh.1,NM_001013836,Q9Y6D9,MD1L1_HUMAN,MAD1L1,NM_001013836,NP_003541,"Homo sapiens MAD1 mitotic arrest deficient-like 1 (yeast) (MAD1L1), transcript variant 2, mRNA.",,
30,uc021zic.1,"['G3024.1' 'G3031.1' 'G3034.1' 'G3035.1' 'G3035.2' 'G3037.1' 'G3038.1'
 'G3042.1' 'G3046.1' 'G3048.1' 'G3048.2' 'G3050.1' 'G3051.1' 'G3053.1'
 'G3056.1' 'G3059.1']","['G2422.1' 'G2430.1' 'G2434.1' 'G2438.1' 'G2439.1' 'G2443.1' 'G2444.1'
 'G2446.1' 'G2449.1' 'G2457.1' 'G2458.1' 'G2459.1' 'G2462.1' 'G2466.1'
 'G2467.1' 'G2469.1' 'G2469.2' 'G2472.1' 'G2475.1' 'G2475.2' 'G2475.3']",,uc021zic.1,chr6,-,166361710,166401527,166401065,166401386,2,"166361710,166401016,","166363402,166401527,",H0UI31,uc021zic.1,64146,uc021zic.1,BX647106,H0UI31,H0UI31_HUMAN,LINC00473,,,"Homo sapiens long intergenic non-protein coding RNA 473 (LINC00473), transcript variant 2, non-coding RNA.",,
31,uc021pmm.1,['G320.1'],,,uc021pmm.1,chr10,+,5734565,5754480,5734565,5734565,3,"5734565,5751492,5754356,","5734881,5751626,5754480,",uc021pmm.1,,7807,uc021pmm.1,AB621821,,,C10orf18,,,"Homo sapiens C10orf18 mRNA, partial sequence, clone: HP08456-RBd50F06.",,
32,uc021ymj.2,['G2823.1'],,,uc021ymj.2,chr6,+,20403909,20493945,20404045,20490661,7,"20403909,20480076,20481454,20482992,20486919,20488343,20490398,","20404063,20480188,20481656,20483151,20487034,20488479,20493945,",Q68DT0,uc021ymj.2,60415,uc021ymj.2,NM_001243076,Q68DT0,Q68DT0_HUMAN,E2F3,NM_001243076,NP_001230005,"Homo sapiens E2F transcription factor 3 (E2F3), transcript variant 2, mRNA.",,
33,uc001onu.3,['G649.1'],,,uc001onu.3,chr11,+,68228185,68382801,68305132,68380585,23,"68228185,68272612,68286968,68305126,68312305,68315534,68318588,68321612,68326033,68331770,68337215,68338507,68341576,68343425,68355394,68358127,68359043,68363564,68367808,68369330,68370809,68377371,68380533,","68228295,68272717,68287119,68305359,68312492,68315672,68318654,68321725,68326147,68331900,68337365,68338572,68341692,68343511,68355492,68358182,68359174,68363686,68367962,68369437,68370960,68377491,68382801,",Q5H9R7-4,uc001onu.3,12379,uc001onu.3,NM_018312,Q5H9R7-4,Q5H9R7-4,PPP6R3,NM_018312,NP_060782,"Homo sapiens protein phosphatase 6, regulatory subunit 3 (PPP6R3), transcript variant 5, mRNA.",,
34,uc001pyw.2,['G687.1'],,,uc001pyw.2,chr11,+,123396527,123493518,123396856,123493303,21,"123396527,123448074,123449117,123455019,123464789,123465442,123466649,123471175,123474133,123476029,123477316,123479366,123480502,123480903,123483468,123484162,123485452,123489052,123489400,123489814,123493213,","123396879,123448285,123449138,123455040,123464874,123465546,123466745,123471256,123474249,123476186,123477506,123479510,123480621,123481046,123483572,123484366,123485543,123489064,123489508,123489932,123493518,",E7EPH8,uc001pyw.2,13099,uc001pyw.2,AK127457,E7EPH8,E7EPH8_HUMAN,GRAMD1B,NM_020716,NP_065767,"Homo sapiens GRAM domain containing 1B (GRAMD1B), mRNA.",,
35,uc011lqh.2,['G3518.1' 'G3518.2' 'G3520.1'],['G2901.1' 'G2902.1' 'G2905.1' 'G2909.1'],,uc011lqh.2,chr9,+,37120468,37358145,37305630,37357265,8,"37120468,37302184,37304184,37305540,37327795,37349353,37354706,37356831,","37120620,37302228,37304310,37305711,37327831,37349449,37354821,37358145,",B4E024,uc011lqh.2,74692,uc011lqh.2,AK303193,B4E024,B4E024_HUMAN,ZCCHC7,NM_032226,NP_115602,"Homo sapiens zinc finger, CCHC domain containing 7 (ZCCHC7), mRNA.",,
36,uc002hnp.1,['G1506.1'],,,uc002hnp.1,chr17,-,35641738,35716059,35641738,35641738,5,"35641738,35646319,35687112,35696763,35715941,","35641871,35646430,35687365,35696810,35716059,",uc002hnp.1,,32897,uc002hnp.1,AY315622,,,ACACA,,,"Homo sapiens acetyl-CoA carboxylase alpha (ACACA), transcript variant 3, mRNA.",,
37,uc003xrf.4,['G3403.1'],,,uc003xrf.4,chr8,-,53535017,53627026,53536341,53598029,24,"53535017,53537276,53540600,53543029,53547480,53548574,53554910,53555263,53558261,53568567,53570557,53571432,53573155,53573485,53573654,53574094,53580580,53586404,53588928,53596108,53596446,53597958,53599412,53626634,","53536419,53537347,53540728,53543088,53547528,53548629,53555151,53555372,53558427,53570468,53570684,53571536,53573217,53573567,53573841,53574279,53580751,53586834,53589131,53596279,53596573,53598080,53599527,53627026,",Q8TDY2-2,uc003xrf.4,73532,uc003xrf.4,NM_001083617,Q8TDY2-2,Q8TDY2-2,RB1CC1,NM_001083617,NP_001077086,"Homo sapiens RB1-inducible coiled-coil 1 (RB1CC1), transcript variant 2, mRNA.",,
38,uc003hzg.4,['G2533.1'],,,uc003hzg.4,chr4,-,109745037,110223799,109745245,110223175,34,"109745037,109746351,109748290,109753535,109762850,109765674,109766344,109767294,109769914,109773391,109774057,109780811,109782082,109783656,109784474,109790243,109805333,109810376,109810856,109817822,109820309,109822274,109839327,109841733,109858963,109861694,109862521,109895522,109895688,109931513,109971282,110221738,110222878,110223324,","109745383,109746378,109748344,109753589,109762877,109765725,109766407,109767375,109769959,109773436,109774081,109780889,109782127,109783701,109784543,109790306,109805378,109810412,109810889,109817867,109820336,109822328,109839372,109841760,109858999,109861802,109862593,109895549,109895715,109931531,109971335,110221808,110223231,110223799,",Q9BXS0-2,uc003hzg.4,56464,uc003hzg.4,NM_032518,Q9BXS0-2,Q9BXS0-2,COL25A1,NM_032518,NP_115907,"Homo sapiens collagen, type XXV, alpha 1 (COL25A1), transcript variant 2, mRNA.",,
39,uc003vcw.1,['G3227.1'],,,uc003vcw.1,chr7,-,104773450,105039798,104773450,104909290,12,"104773450,104782454,104783530,104785729,104786939,104800953,104807823,104808454,104809603,104844074,104909252,105039602,","104773551,104782937,104783777,104785755,104787105,104801060,104807911,104808542,104809712,104844232,104909316,105039798,",P78362,uc003vcw.1,71315,uc003vcw.1,AY354201,P78362,SRPK2_HUMAN,SRPK2,NM_182691,NP_872633,"Homo sapiens SRSF protein kinase 2 (SRPK2), transcript variant 3, mRNA.",,
40,uc003pjp.2,['G2962.1' 'G2962.2'],,,uc003pjp.2,chr6,-,83602185,83775545,83602740,83775437,10,"83602185,83667030,83728691,83732171,83733687,83748134,83754146,83763866,83767544,83775360,","83602761,83667169,83728855,83732280,83733757,83748204,83754378,83763957,83767741,83775545,",Q7Z6J8,uc003pjp.2,63431,uc003pjp.2,NM_198920,Q7Z6J8,UBE3D_HUMAN,UBE3D,NM_198920,NP_944602,"Homo sapiens ubiquitin protein ligase E3D (UBE3D), mRNA.",,
41,uc010pvz.1,['G148.1' 'G153.1'],,,uc010pvz.1,chr1,+,230202955,230410310,230202955,230202955,13,"230202955,230338882,230371759,230372098,230372405,230379051,230381808,230384929,230390963,230398318,230398667,230400986,230410190,","230203153,230339036,230371858,230372166,230372471,230379173,230381896,230385017,230391090,230398411,230398751,230401113,230410310,",uc010pvz.1,,3750,uc010pvz.1,AK304029,,,GALNT2,,,"Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2), mRNA.",,
42,uc010xcj.1,['G1582.1'],,,uc010xcj.1,chr18,-,36786887,37331959,36786887,36786887,4,"36786887,37115421,37331292,37331868,","36788753,37115579,37331324,37331959,",uc010xcj.1,,35193,uc010xcj.1,NR_024391,,,LINC00669,NR_024391,,"Homo sapiens long intergenic non-protein coding RNA 669 (LINC00669), non-coding RNA.",,
43,uc031sij.1,['G2566.1'],,,uc031sij.1,chr5,+,271735,315089,306718,314630,7,"271735,271890,272825,304291,306716,311407,314531,","271805,271936,272887,304336,306875,311517,315089,",NP_001254487,uc031sij.1,56976,uc031sij.1,NM_001267558,O75340,PDCD6_HUMAN,PDCD6,NM_001267558,NP_001254487,"Homo sapiens programmed cell death 6 (PDCD6), transcript variant 4, mRNA.",,
