,start_coord,end_coord,translation_status,dataset,count,length
30,2239024,2239329,Protein coding,IonXpress_SFPQt1,1,305
31,2239434,2239623,Protein coding,IonXpress_SFPQt1,1,189
32,2241039,2246837,Protein coding,IonXpress_SFPQt1,3,5798
33,2246914,2264929,Protein coding,IonXpress_SFPQt1,3,18015
34,2265093,2265401,Protein coding,IonXpress_SFPQt1,3,308
35,2265564,2266130,Protein coding,IonXpress_SFPQt1,3,566
36,2266199,2266281,Protein coding,IonXpress_SFPQt1,3,82
37,2266428,2266757,Protein coding,IonXpress_SFPQt1,3,329
38,2266893,2267351,Protein coding,IonXpress_SFPQt1,3,458
39,2267477,2267888,Protein coding,IonXpress_SFPQt1,3,411
40,2267957,2268189,Protein coding,IonXpress_SFPQt1,3,232
41,2268351,2268507,Protein coding,IonXpress_SFPQt1,3,156
42,2268635,2270563,Protein coding,IonXpress_SFPQt1,1,1928
43,2268635,2274554,Protein coding,IonXpress_SFPQt1,2,5919
44,2270699,2274554,Protein coding,IonXpress_SFPQt1,1,3855
45,2274709,2275482,Protein coding,IonXpress_SFPQt1,3,773
46,2275548,2275635,Protein coding,IonXpress_SFPQt1,3,87
47,2275782,2276245,Protein coding,IonXpress_SFPQt1,3,463
48,2276375,2276623,Protein coding,IonXpress_SFPQt1,3,248
49,2276807,2278784,Protein coding,IonXpress_SFPQt1,3,1977
50,2279169,2279429,Protein coding,IonXpress_SFPQt1,3,260
51,2279555,2280025,Protein coding,IonXpress_SFPQt1,3,470
52,2280109,2280251,Protein coding,IonXpress_SFPQt1,4,142
53,2280362,2281149,Protein coding,IonXpress_SFPQt1,4,787
54,2281247,2282328,Protein coding,IonXpress_SFPQt1,4,1081
55,2282497,2282724,Protein coding,IonXpress_SFPQt1,3,227
56,2282497,2283557,Protein coding,IonXpress_SFPQt1,1,1060
57,2620376,2638589,Non coding,IonXpress_SFPQt1,5,18213
58,2633309,2633486,Non coding,IonXpress_SFPQt1,3,177
59,2633309,2633486,Protein coding,IonXpress_SFPQt1,3,177
60,2633577,2633923,Non coding,IonXpress_SFPQt1,3,346
61,2633577,2633923,Protein coding,IonXpress_SFPQt1,3,346
62,2633819,2633923,Protein coding,IonXpress_SFPQt1,3,104
63,2634039,2635058,Non coding,IonXpress_SFPQt1,3,1019
64,2634039,2635058,Protein coding,IonXpress_SFPQt1,6,1019
65,2635221,2635393,Non coding,IonXpress_SFPQt1,3,172
66,2635221,2635393,Protein coding,IonXpress_SFPQt1,6,172
67,2635593,2635969,Non coding,IonXpress_SFPQt1,3,376
68,2635593,2635969,Protein coding,IonXpress_SFPQt1,6,376
69,2636158,2636239,Non coding,IonXpress_SFPQt1,3,81
70,2636158,2636239,Protein coding,IonXpress_SFPQt1,6,81
71,2636392,2636578,Non coding,IonXpress_SFPQt1,3,186
72,2636392,2636578,Protein coding,IonXpress_SFPQt1,6,186
73,2636680,2637045,Protein coding,IonXpress_SFPQt1,6,365
74,2636860,2637045,Non coding,IonXpress_SFPQt1,3,185
75,2637195,2637418,Non coding,IonXpress_SFPQt1,3,223
76,2637195,2637418,Protein coding,IonXpress_SFPQt1,6,223
77,2637541,2637725,Non coding,IonXpress_SFPQt1,3,184
78,2637541,2637725,Protein coding,IonXpress_SFPQt1,6,184
79,2637864,2638573,Non coding,IonXpress_SFPQt1,3,709
80,2637864,2638573,Protein coding,IonXpress_SFPQt1,6,709
81,2638632,2642755,Non coding,IonXpress_SFPQt1,5,4123
82,2642780,2655034,Non coding,IonXpress_SFPQt1,2,12254
83,2642780,2709067,Non coding,IonXpress_SFPQt1,1,66287
84,2642780,2713685,Non coding,IonXpress_SFPQt1,1,70905
85,2655094,2655519,Non coding,IonXpress_SFPQt1,1,425
86,2670376,2670937,Non coding,IonXpress_SFPQt1,1,561
87,2670376,2688589,Protein coding,IonXpress_SFPQt1,2,18213
88,2671041,2688589,Non coding,IonXpress_SFPQt1,1,17548
89,2688632,2692755,Non coding,IonXpress_SFPQt1,1,4123
90,2688632,2692755,Protein coding,IonXpress_SFPQt1,2,4123
91,2692780,2700105,Non coding,IonXpress_SFPQt1,1,7325
92,2692780,2700105,Protein coding,IonXpress_SFPQt1,2,7325
93,2700169,2707683,Non coding,IonXpress_SFPQt1,1,7514
94,2700169,2707683,Protein coding,IonXpress_SFPQt1,2,7514
95,2707747,2712574,Protein coding,IonXpress_SFPQt1,2,4827
96,2709124,2709525,Non coding,IonXpress_SFPQt1,1,401
97,2709668,2710204,Non coding,IonXpress_SFPQt1,1,536
98,2710283,2712116,Non coding,IonXpress_SFPQt1,1,1833
99,2712298,2713685,Non coding,IonXpress_SFPQt1,1,1387
100,2712644,2715349,Protein coding,IonXpress_SFPQt1,2,2705
101,2713784,2722639,Non coding,IonXpress_SFPQt1,1,8855
102,2715401,2724740,Protein coding,IonXpress_SFPQt1,1,9339
103,2715401,2726224,Protein coding,IonXpress_SFPQt1,1,10823
104,2724786,2726224,Protein coding,IonXpress_SFPQt1,1,1438
105,2726261,2729375,Protein coding,IonXpress_SFPQt1,2,3114
106,2729493,2732403,Protein coding,IonXpress_SFPQt1,2,2910
107,6714812,6737621,Protein coding,IonXpress_NONO_c,2,22809
108,6737746,6738794,Protein coding,IonXpress_NONO_c,2,1048
109,6738842,6739843,Protein coding,IonXpress_NONO_c,2,1001
110,6739965,6742601,Protein coding,IonXpress_NONO_c,2,2636
111,6742710,6743823,Protein coding,IonXpress_NONO_c,2,1113
112,6743953,6746325,Protein coding,IonXpress_NONO_c,2,2372
113,6746540,6748575,Protein coding,IonXpress_NONO_c,2,2035
114,6748703,6749668,Protein coding,IonXpress_NONO_c,2,965
115,6749770,6750442,Protein coding,IonXpress_NONO_c,2,672
116,6750616,6751150,Protein coding,IonXpress_NONO_c,2,534
117,6751310,6752984,Protein coding,IonXpress_NONO_c,2,1674
118,6753150,6754862,Protein coding,IonXpress_NONO_c,1,1712
119,6753150,6754865,Protein coding,IonXpress_NONO_c,1,1715
120,7194853,7398013,Protein coding,IonXpress_SFPQt1,1,203160
121,7383719,7398013,Protein coding,IonXpress_SFPQt1,1,14294
122,7398082,7533255,Protein coding,IonXpress_SFPQt1,2,135173
123,7533356,7640053,Protein coding,IonXpress_SFPQt1,2,106697
124,7640219,7655859,Protein coding,IonXpress_SFPQt1,2,15640
125,7655934,7663225,Protein coding,IonXpress_SFPQt1,2,7291
126,7663291,7666078,Protein coding,IonXpress_SFPQt1,2,2787
127,7666198,7668849,Protein coding,IonXpress_SFPQt1,2,2651
128,7668940,7677775,Protein coding,IonXpress_SFPQt1,2,8835
129,7677956,7684468,Protein coding,IonXpress_SFPQt1,2,6512
130,7684616,7691211,Protein coding,IonXpress_SFPQt1,2,6595
131,7691315,7698923,Protein coding,IonXpress_SFPQt1,2,7608
132,7699001,7705005,Protein coding,IonXpress_SFPQt1,2,6004
133,7705098,7705902,Protein coding,IonXpress_SFPQt1,2,804
134,7706011,7714458,Protein coding,IonXpress_SFPQt1,2,8447
135,7714580,7715965,Protein coding,IonXpress_SFPQt1,2,1385
136,7716100,7716908,Protein coding,IonXpress_SFPQt1,2,808
137,7717038,7719737,Protein coding,IonXpress_SFPQt1,2,2699
138,7719910,7725422,Protein coding,IonXpress_SFPQt1,2,5512
139,7725610,7726879,Protein coding,IonXpress_SFPQt1,2,1269
140,7727014,7728505,Protein coding,IonXpress_SFPQt1,2,1491
141,7728630,7730075,Protein coding,IonXpress_SFPQt1,2,1445
142,7730189,7731312,Protein coding,IonXpress_SFPQt1,2,1123
143,7731439,7735047,Protein coding,IonXpress_SFPQt1,2,3608
144,7735148,7735997,Protein coding,IonXpress_SFPQt1,2,849
145,7736101,7738791,Protein coding,IonXpress_SFPQt1,1,2690
146,7736101,7738794,Protein coding,IonXpress_SFPQt1,1,2693
147,7738899,7741925,Protein coding,IonXpress_SFPQt1,1,3026
148,7738941,7741925,Protein coding,IonXpress_SFPQt1,1,2984
149,8077590,8077836,Protein coding,IonXpress_NONO_c,2,246
150,8077590,8077857,Protein coding,IonXpress_NONO_c,1,267
151,8077590,8079516,Non coding,IonXpress_NONO_c,1,1926
152,8077934,8079073,Protein coding,IonXpress_NONO_c,3,1139
153,8079175,8079275,Protein coding,IonXpress_NONO_c,1,100
154,8079193,8079275,Protein coding,IonXpress_NONO_c,2,82
155,8079344,8079516,Protein coding,IonXpress_NONO_c,3,172
156,10217088,10217175,Protein coding,IonXpress_SFPQt1,3,87
157,10217347,10218179,Protein coding,IonXpress_SFPQt1,3,832
158,10218282,10218478,Protein coding,IonXpress_SFPQt1,3,196
159,10218530,10218638,Protein coding,IonXpress_SFPQt1,3,108
160,10218810,10220305,Protein coding,IonXpress_SFPQt1,3,1495
161,10220383,10220587,Protein coding,IonXpress_SFPQt1,3,204
162,10220696,10220797,Protein coding,IonXpress_SFPQt1,3,101
163,10220922,10220998,Protein coding,IonXpress_SFPQt1,3,76
164,10221078,10221159,Protein coding,IonXpress_SFPQt1,3,81
165,10221290,10221371,Protein coding,IonXpress_SFPQt1,3,81
166,10221542,10221619,Protein coding,IonXpress_SFPQt1,3,77
167,10221698,10224307,Protein coding,IonXpress_SFPQt1,1,2609
168,10221760,10224307,Protein coding,IonXpress_SFPQt1,1,2547
169,12626156,12626344,Protein coding,IonXpress_NONO_c,2,188
170,12626480,12626619,Protein coding,IonXpress_NONO_c,2,139
171,12626752,12627178,Protein coding,IonXpress_NONO_c,2,426
172,12627298,12629088,Protein coding,IonXpress_NONO_c,2,1790
173,12629136,12632295,Protein coding,IonXpress_NONO_c,2,3159
174,12632473,12633205,Protein coding,IonXpress_NONO_c,2,732
175,12633291,12641188,Protein coding,IonXpress_NONO_c,2,7897
176,12641307,12641649,Protein coding,IonXpress_NONO_c,2,342
177,12641778,12641885,Protein coding,IonXpress_NONO_c,2,107
178,12641914,12645633,Protein coding,IonXpress_NONO_c,2,3719
179,12645788,12647698,Protein coding,IonXpress_NONO_c,2,1910
180,12647798,12650263,Protein coding,IonXpress_NONO_c,2,2465
181,12650422,12650730,Protein coding,IonXpress_NONO_c,2,308
182,12650834,12653447,Protein coding,IonXpress_NONO_c,1,2613
183,12650834,12660012,Protein coding,IonXpress_NONO_c,1,9178
184,12653561,12660012,Protein coding,IonXpress_NONO_c,1,6451
185,12660246,12705310,Protein coding,IonXpress_NONO_c,2,45064
186,12696381,12696954,Protein coding,IonXpress_NONO_c,1,573
187,12697108,12785724,Protein coding,IonXpress_NONO_c,1,88616
188,12785981,12883795,Protein coding,IonXpress_NONO_c,1,97814
189,12883861,12886383,Protein coding,IonXpress_NONO_c,1,2522
190,12886447,12901253,Protein coding,IonXpress_NONO_c,1,14806
191,12901389,12902550,Protein coding,IonXpress_NONO_c,1,1161
192,12902598,12903441,Protein coding,IonXpress_NONO_c,1,843
193,12903504,12904546,Protein coding,IonXpress_NONO_c,1,1042
194,12904672,12923485,Protein coding,IonXpress_NONO_c,1,18813
195,12923660,12946457,Protein coding,IonXpress_NONO_c,1,22797
196,12946599,12951719,Protein coding,IonXpress_NONO_c,1,5120
197,12951873,12958654,Protein coding,IonXpress_NONO_c,1,6781
198,15399918,15456269,Non coding,IonXpress_NONO_c,4,56351
199,15399918,15456269,Non coding,IonXpress_SFPQt1,4,56351
200,15456465,15515828,Non coding,IonXpress_NONO_c,2,59363
201,15456465,15515828,Non coding,IonXpress_SFPQt1,2,59363
202,15456465,15516076,Non coding,IonXpress_NONO_c,2,59611
203,15456465,15516076,Non coding,IonXpress_SFPQt1,2,59611
204,16342343,16342639,Non coding,IonXpress_NONO_c,4,296
205,16342343,16342639,Non coding,IonXpress_SFPQt1,4,296
206,16342374,16342639,Non coding,IonXpress_NONO_c,36,265
207,16342374,16342639,Non coding,IonXpress_SFPQt1,38,265
208,16342374,16343497,Non coding,IonXpress_NONO_c,2,1123
209,16342374,16343497,Non coding,IonXpress_SFPQt1,2,1123
210,16342707,16343497,Non coding,IonXpress_NONO_c,2,790
211,16342707,16343497,Non coding,IonXpress_SFPQt1,2,790
212,16342728,16342840,Non coding,IonXpress_NONO_c,4,112
213,16342728,16342840,Non coding,IonXpress_SFPQt1,5,112
214,16342728,16342893,Non coding,IonXpress_NONO_c,6,165
215,16342728,16342893,Non coding,IonXpress_SFPQt1,6,165
216,16342728,16342972,Non coding,IonXpress_NONO_c,6,244
217,16342728,16342972,Non coding,IonXpress_SFPQt1,6,244
218,16342728,16342972,Protein coding,IonXpress_NONO_c,4,244
219,16342728,16342972,Protein coding,IonXpress_SFPQt1,5,244
220,16342728,16343423,Non coding,IonXpress_NONO_c,2,695
221,16342728,16343423,Non coding,IonXpress_SFPQt1,2,695
222,16342728,16343497,Non coding,IonXpress_NONO_c,20,769
223,16342728,16343497,Non coding,IonXpress_SFPQt1,21,769
224,16343017,16343423,Non coding,IonXpress_NONO_c,2,406
225,16343017,16343423,Non coding,IonXpress_SFPQt1,2,406
226,16343017,16343497,Non coding,IonXpress_NONO_c,14,480
227,16343017,16343497,Non coding,IonXpress_SFPQt1,15,480
228,16343017,16343497,Protein coding,IonXpress_NONO_c,4,480
229,16343017,16343497,Protein coding,IonXpress_SFPQt1,5,480
230,16343567,16344386,Non coding,IonXpress_NONO_c,30,819
231,16343567,16344386,Non coding,IonXpress_SFPQt1,32,819
232,16343567,16344386,Protein coding,IonXpress_NONO_c,2,819
233,16343567,16344386,Protein coding,IonXpress_SFPQt1,2,819
234,16343567,16344680,Non coding,IonXpress_NONO_c,8,1113
235,16343567,16344680,Non coding,IonXpress_SFPQt1,8,1113
236,16343567,16344680,Protein coding,IonXpress_NONO_c,2,1113
237,16343567,16344680,Protein coding,IonXpress_SFPQt1,2,1113
238,16343567,16364205,Non coding,IonXpress_NONO_c,2,20638
239,16343567,16364205,Non coding,IonXpress_SFPQt1,2,20638
240,16343567,16373614,Non coding,IonXpress_NONO_c,2,30047
241,16343567,16373614,Non coding,IonXpress_SFPQt1,2,30047
242,16344444,16344680,Non coding,IonXpress_NONO_c,16,236
243,16344444,16344680,Non coding,IonXpress_SFPQt1,16,236
244,16344444,16344680,Protein coding,IonXpress_NONO_c,2,236
245,16344444,16344680,Protein coding,IonXpress_SFPQt1,2,236
246,16344444,16366145,Non coding,IonXpress_NONO_c,8,21701
247,16344444,16366145,Non coding,IonXpress_SFPQt1,8,21701
248,16344444,16373614,Non coding,IonXpress_NONO_c,6,29170
249,16344444,16373614,Non coding,IonXpress_SFPQt1,6,29170
250,16364559,16366145,Non coding,IonXpress_NONO_c,2,1586
251,16364559,16366145,Non coding,IonXpress_SFPQt1,2,1586
252,16366255,16366476,Non coding,IonXpress_NONO_c,4,221
253,16366255,16366476,Non coding,IonXpress_SFPQt1,4,221
254,16366255,16366479,Non coding,IonXpress_NONO_c,6,224
255,16366255,16366479,Non coding,IonXpress_SFPQt1,6,224
256,16366561,16373614,Non coding,IonXpress_NONO_c,4,7053
257,16366561,16373614,Non coding,IonXpress_SFPQt1,4,7053
258,16366631,16373614,Non coding,IonXpress_NONO_c,6,6983
259,16366631,16373614,Non coding,IonXpress_SFPQt1,6,6983
260,16594058,16596291,Protein coding,IonXpress_SFPQt1,1,2233
261,16596363,16608463,Protein coding,IonXpress_SFPQt1,1,12100
262,16608713,16610781,Protein coding,IonXpress_SFPQt1,1,2068
263,16610856,16612108,Protein coding,IonXpress_SFPQt1,1,1252
264,16610856,16614991,Protein coding,IonXpress_SFPQt1,1,4135
265,16612949,16614991,Protein coding,IonXpress_SFPQt1,1,2042
266,16615129,16623510,Non coding,IonXpress_SFPQt1,1,8381
267,16615129,16623510,Protein coding,IonXpress_SFPQt1,2,8381
268,16623545,16623829,Non coding,IonXpress_SFPQt1,1,284
269,16623545,16623829,Protein coding,IonXpress_SFPQt1,2,284
270,16623972,16630839,Non coding,IonXpress_SFPQt1,1,6867
271,16623972,16630839,Protein coding,IonXpress_SFPQt1,2,6867
272,16631054,16635112,Non coding,IonXpress_SFPQt1,1,4058
273,16631054,16635112,Protein coding,IonXpress_SFPQt1,2,4058
274,16635297,16635850,Non coding,IonXpress_SFPQt1,1,553
275,16635297,16635850,Protein coding,IonXpress_SFPQt1,2,553
276,16635980,16638002,Non coding,IonXpress_SFPQt1,1,2022
277,16635980,16638002,Protein coding,IonXpress_SFPQt1,2,2022
278,16638957,16640850,Protein coding,IonXpress_SFPQt1,1,1893
279,16638957,16664737,Non coding,IonXpress_SFPQt1,1,25780
280,16638957,16664737,Protein coding,IonXpress_SFPQt1,1,25780
281,16640989,16664737,Protein coding,IonXpress_SFPQt1,1,23748
282,16665032,16665625,Non coding,IonXpress_SFPQt1,1,593
283,16665032,16665625,Protein coding,IonXpress_SFPQt1,2,593
284,16665847,16667277,Non coding,IonXpress_SFPQt1,1,1430
285,16665847,16667277,Protein coding,IonXpress_SFPQt1,2,1430
286,16667489,16675289,Non coding,IonXpress_SFPQt1,1,7800
287,16667489,16675289,Protein coding,IonXpress_SFPQt1,1,7800
288,16675333,16675912,Protein coding,IonXpress_SFPQt1,1,579
289,16675333,16676809,Non coding,IonXpress_SFPQt1,1,1476
290,16676023,16676809,Protein coding,IonXpress_SFPQt1,1,786
291,16677596,16686935,Non coding,IonXpress_SFPQt1,1,9339
292,16687047,16687735,Non coding,IonXpress_SFPQt1,1,688
293,16687794,16690260,Non coding,IonXpress_SFPQt1,1,2466
294,16690436,16691247,Non coding,IonXpress_SFPQt1,1,811
295,16691449,16699355,Non coding,IonXpress_SFPQt1,1,7906
296,16699548,16701554,Non coding,IonXpress_SFPQt1,1,2006
297,16701844,16703263,Non coding,IonXpress_SFPQt1,1,1419
298,16703685,16704348,Non coding,IonXpress_SFPQt1,1,663
299,16704442,16705571,Non coding,IonXpress_SFPQt1,1,1129
300,16860704,16860919,Non coding,IonXpress_SFPQt1,1,215
301,17066892,17256779,Protein coding,IonXpress_NONO_c,1,189887
302,17066892,17256779,Protein coding,IonXpress_SFPQt1,3,189887
303,17199602,17200216,Non coding,IonXpress_NONO_c,1,614
304,17256842,17256922,Protein coding,IonXpress_NONO_c,1,80
305,17256842,17256922,Protein coding,IonXpress_SFPQt1,3,80
306,17257089,17263130,Protein coding,IonXpress_NONO_c,1,6041
307,17257089,17263130,Protein coding,IonXpress_SFPQt1,3,6041
308,17263368,17264134,Protein coding,IonXpress_NONO_c,1,766
309,17263368,17264134,Protein coding,IonXpress_SFPQt1,3,766
310,17264232,17264893,Protein coding,IonXpress_NONO_c,1,661
311,17264232,17264893,Protein coding,IonXpress_SFPQt1,3,661
312,17264978,17265402,Protein coding,IonXpress_NONO_c,1,424
313,17264978,17265402,Protein coding,IonXpress_SFPQt1,3,424
314,17265637,17266387,Protein coding,IonXpress_NONO_c,1,750
315,17265637,17266387,Protein coding,IonXpress_SFPQt1,3,750
316,17266588,17267265,Protein coding,IonXpress_NONO_c,1,677
317,17266588,17267265,Protein coding,IonXpress_SFPQt1,3,677
318,17923051,17923752,Protein coding,IonXpress_SFPQt1,3,701
319,17923839,17928128,Protein coding,IonXpress_SFPQt1,3,4289
320,17928289,17929532,Protein coding,IonXpress_SFPQt1,4,1243
321,17929620,17929706,Protein coding,IonXpress_SFPQt1,4,86
322,17929747,17930774,Protein coding,IonXpress_SFPQt1,4,1027
323,17930851,17930933,Protein coding,IonXpress_SFPQt1,4,82
324,17931040,17932142,Protein coding,IonXpress_SFPQt1,4,1102
325,17932239,17933229,Protein coding,IonXpress_SFPQt1,4,990
326,17933354,17934638,Protein coding,IonXpress_SFPQt1,4,1284
327,17934761,17936007,Protein coding,IonXpress_SFPQt1,4,1246
328,17936119,17937575,Protein coding,IonXpress_SFPQt1,4,1456
329,17937681,17949016,Protein coding,IonXpress_SFPQt1,3,11335
330,17937681,17949341,Protein coding,IonXpress_SFPQt1,1,11660
331,17949100,17949341,Protein coding,IonXpress_SFPQt1,1,241
332,20113469,20113796,Non coding,IonXpress_SFPQt1,1,327
333,20113469,20113796,Protein coding,IonXpress_SFPQt1,2,327
334,20113469,20130155,Protein coding,IonXpress_SFPQt1,1,16686
335,20114038,20130155,Non coding,IonXpress_SFPQt1,1,16117
336,20114038,20130155,Protein coding,IonXpress_SFPQt1,2,16117
337,20130313,20131028,Non coding,IonXpress_SFPQt1,1,715
338,20130313,20131028,Protein coding,IonXpress_SFPQt1,3,715
339,20131170,20132042,Protein coding,IonXpress_SFPQt1,2,872
340,20131170,20132142,Non coding,IonXpress_SFPQt1,1,972
341,20131170,20135230,Protein coding,IonXpress_SFPQt1,1,4060
342,20132208,20133160,Non coding,IonXpress_SFPQt1,1,952
343,20132208,20133160,Protein coding,IonXpress_SFPQt1,2,952
344,20133272,20135226,Non coding,IonXpress_SFPQt1,1,1954
345,20133272,20135230,Protein coding,IonXpress_SFPQt1,2,1958
346,20135364,20135978,Non coding,IonXpress_SFPQt1,1,614
347,20135364,20135978,Protein coding,IonXpress_SFPQt1,3,614
348,20136126,20137502,Non coding,IonXpress_SFPQt1,1,1376
349,20136126,20137502,Protein coding,IonXpress_SFPQt1,3,1376
350,20137707,20138024,Non coding,IonXpress_SFPQt1,1,317
351,20137707,20138024,Protein coding,IonXpress_SFPQt1,3,317
352,20138162,20141518,Non coding,IonXpress_SFPQt1,1,3356
353,20138162,20141518,Protein coding,IonXpress_SFPQt1,3,3356
354,20141600,20145545,Non coding,IonXpress_SFPQt1,1,3945
355,20141600,20145545,Protein coding,IonXpress_SFPQt1,3,3945
356,20145757,20146220,Non coding,IonXpress_SFPQt1,1,463
357,20145757,20146220,Protein coding,IonXpress_SFPQt1,3,463
358,20146331,20147923,Non coding,IonXpress_SFPQt1,1,1592
359,20146331,20147923,Protein coding,IonXpress_SFPQt1,3,1592
360,20147978,20151174,Non coding,IonXpress_SFPQt1,1,3196
361,20147978,20151174,Protein coding,IonXpress_SFPQt1,3,3196
362,20151245,20153593,Non coding,IonXpress_SFPQt1,1,2348
363,20151245,20153593,Protein coding,IonXpress_SFPQt1,3,2348
364,20153739,20160313,Non coding,IonXpress_SFPQt1,1,6574
365,20153739,20160313,Protein coding,IonXpress_SFPQt1,2,6574
366,20153739,20166483,Protein coding,IonXpress_SFPQt1,1,12744
367,20160375,20162054,Protein coding,IonXpress_SFPQt1,1,1679
368,20160375,20166483,Non coding,IonXpress_SFPQt1,1,6108
369,20160375,20166483,Protein coding,IonXpress_SFPQt1,1,6108
370,20162088,20166483,Protein coding,IonXpress_SFPQt1,1,4395
371,20166670,20169239,Non coding,IonXpress_SFPQt1,1,2569
372,20166670,20169239,Protein coding,IonXpress_SFPQt1,3,2569
373,20169366,20173322,Non coding,IonXpress_SFPQt1,1,3956
374,20169366,20173322,Protein coding,IonXpress_SFPQt1,3,3956
375,20173469,20174227,Non coding,IonXpress_SFPQt1,1,758
376,20173469,20174227,Protein coding,IonXpress_SFPQt1,3,758
377,20174394,20175289,Non coding,IonXpress_SFPQt1,1,895
378,20174394,20175289,Protein coding,IonXpress_SFPQt1,3,895
379,20175424,20178510,Non coding,IonXpress_SFPQt1,1,3086
380,20175424,20178510,Protein coding,IonXpress_SFPQt1,2,3086
381,20178640,20180450,Non coding,IonXpress_SFPQt1,1,1810
382,20178640,20180450,Protein coding,IonXpress_SFPQt1,2,1810
383,20180544,20182222,Non coding,IonXpress_SFPQt1,1,1678
384,20180544,20182222,Protein coding,IonXpress_SFPQt1,2,1678
385,20182295,20188924,Non coding,IonXpress_SFPQt1,1,6629
386,20182295,20188924,Protein coding,IonXpress_SFPQt1,2,6629
387,20189043,20189751,Non coding,IonXpress_SFPQt1,1,708
388,20189043,20189751,Protein coding,IonXpress_SFPQt1,2,708
389,20523178,20709592,Protein coding,IonXpress_NONO_c,16,186414
390,20523178,20709592,Protein coding,IonXpress_SFPQt1,3,186414
391,20709644,20766375,Protein coding,IonXpress_NONO_c,16,56731
392,20709644,20766375,Protein coding,IonXpress_SFPQt1,3,56731
393,20766634,20769162,Protein coding,IonXpress_NONO_c,16,2528
394,20766634,20769162,Protein coding,IonXpress_SFPQt1,3,2528
395,20769318,20774228,Protein coding,IonXpress_NONO_c,16,4910
396,20769318,20774228,Protein coding,IonXpress_SFPQt1,3,4910
397,20774345,20782840,Protein coding,IonXpress_NONO_c,16,8495
398,20774345,20782840,Protein coding,IonXpress_SFPQt1,3,8495
399,20783061,20786625,Protein coding,IonXpress_NONO_c,16,3564
400,20783061,20786625,Protein coding,IonXpress_SFPQt1,3,3564
401,20786712,20787834,Protein coding,IonXpress_NONO_c,16,1122
402,20786712,20787834,Protein coding,IonXpress_SFPQt1,3,1122
403,20787990,20790032,Protein coding,IonXpress_NONO_c,16,2042
404,20787990,20790032,Protein coding,IonXpress_SFPQt1,3,2042
405,20790171,20792778,Protein coding,IonXpress_NONO_c,16,2607
406,20790171,20792778,Protein coding,IonXpress_SFPQt1,3,2607
407,20792891,20799422,Protein coding,IonXpress_NONO_c,16,6531
408,20792891,20799422,Protein coding,IonXpress_SFPQt1,3,6531
409,20799537,20799683,Protein coding,IonXpress_NONO_c,16,146
410,20799537,20799683,Protein coding,IonXpress_SFPQt1,3,146
411,20799884,20801620,Protein coding,IonXpress_NONO_c,16,1736
412,20799884,20801620,Protein coding,IonXpress_SFPQt1,3,1736
413,20801825,20803377,Protein coding,IonXpress_NONO_c,16,1552
414,20801825,20803377,Protein coding,IonXpress_SFPQt1,3,1552
415,20803534,20806879,Protein coding,IonXpress_NONO_c,16,3345
416,20803534,20806879,Protein coding,IonXpress_SFPQt1,3,3345
417,20807139,20832962,Protein coding,IonXpress_NONO_c,16,25823
418,20807139,20832962,Protein coding,IonXpress_SFPQt1,3,25823
419,21455943,21476896,Non coding,IonXpress_NONO_c,1,20953
420,21477034,21477166,Non coding,IonXpress_NONO_c,1,132
421,21477291,21559486,Non coding,IonXpress_NONO_c,1,82195
422,24712103,24717540,Protein coding,IonXpress_NONO_c,1,5437
