,transcript,IonXpress_NONO_c,IonXpress_SFPQt1,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
10,uc011cmn.2,['G1808.1'],,uc011cmn.2,chr5,+,6714717,6757161,6737656,6755058,13,"6714717,6737622,6738795,6739844,6742602,6743824,6746326,6748576,6749669,6750443,6751151,6752985,6754866,","6714812,6737746,6738842,6739965,6742710,6743953,6746540,6748703,6749770,6750616,6751310,6753150,6757161,",B7ZLL4,uc011cmn.2,57021,uc011cmn.2,NM_001171805,B7ZLL4,B7ZLL4_HUMAN,PAPD7,NM_001171805,NP_001165276,"Homo sapiens PAP associated domain containing 7 (PAPD7), transcript variant 2, mRNA.",,
11,uc001pkm.3,['G490.1'],,uc001pkm.3,chr11,+,108535815,108811648,108535880,108811150,18,"108535815,108544193,108546322,108547811,108549041,108550097,108559662,108562602,108564242,108577465,108586605,108590523,108593723,108709172,108712041,108722879,108788599,108810972,","108536066,108544254,108546453,108547970,108549162,108550287,108559789,108562765,108564327,108577564,108586693,108590612,108594189,108709292,108712203,108722936,108788745,108811648,",Q13206,uc001pkm.3,12822,uc001pkm.3,NM_004398,Q13206,DDX10_HUMAN,DDX10,NM_004398,NP_004389,"Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 (DDX10), mRNA.",,
12,uc010ujq.2,['G903.1'],['G1023.1' 'G1023.2' 'G1025.1' 'G1026.1'],uc010ujq.2,chr15,-,66793345,66797193,66793704,66797128,6,"66793345,66794125,66794949,66795395,66795695,66797125,","66793842,66794250,66795088,66795502,66795867,66797193,",P36578,uc010ujq.2,25958,uc010ujq.2,AK294113,P36578,RL4_HUMAN,RPL4,,,"Homo sapiens ribosomal protein L4 (RPL4), mRNA.",,
13,uc021ujw.1,['G1141.1' 'G1142.1' 'G1142.2' 'G1143.1'],['G1327.1' 'G1328.1' 'G1328.2' 'G1329.1'],uc021ujw.1,chr18,-,47014850,47018834,47014888,47017941,8,"47014850,47015728,47016823,47017162,47017774,47017901,47018105,47018644,","47014936,47015920,47016922,47017297,47017815,47017954,47018203,47018834,",P18621,uc021ujw.1,35294,uc021ujw.1,NM_001199343,P18621,RL17_HUMAN,RPL17,NM_001199343,NP_001186274,"Homo sapiens ribosomal protein L17 (RPL17), transcript variant 6, mRNA.",,
14,uc003gut.4,['G1725.1'],,uc003gut.4,chr4,+,39699663,39784410,39699947,39780054,5,"39699663,39757276,39776453,39779301,39779979,","39700010,39757359,39776553,39779430,39784410,",P61086-2,uc003gut.4,54536,uc003gut.4,NM_001111113,P61086-2,P61086-2,UBE2K,NM_001111113,NP_001104583,"Homo sapiens ubiquitin-conjugating enzyme E2K (UBE2K), transcript variant 3, mRNA.",,
15,uc001jon.1,['G248.1'],['G347.1'],uc001jon.1,chr10,+,70480970,70531202,70482293,70531202,16,"70480970,70482211,70496632,70502184,70506917,70507130,70508892,70509280,70513608,70514470,70515126,70516029,70517050,70520763,70525644,70530962,","70481039,70482334,70496805,70502326,70507032,70507323,70509022,70509442,70513834,70514584,70515293,70516240,70517134,70520949,70525836,70531202,",F5H1H2,uc001jon.1,8370,uc001jon.1,AK122871,F5H1H2,F5H1H2_HUMAN,CCAR1,,,"Homo sapiens cell division cycle and apoptosis regulator 1 (CCAR1), mRNA.",,
16,uc021trb.1,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc021trb.1,chr17,+,16342300,16373962,16342300,16342300,4,"16342300,16343498,16344387,16373615,","16342374,16343567,16344444,16373962,",uc021trb.1,,30226,uc021trb.1,NR_045025,,,C17orf76-AS1,NR_045025,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 28, non-coding RNA.",,
17,uc002lds.1,['G1142.1' 'G1142.2'],['G1328.1' 'G1328.2'],uc002lds.1,chr18,-,47017652,47017717,47017652,47017652,1,"47017652,","47017717,",uc002lds.1,,35303,uc002lds.1,NR_002571,,,SNORD58A,NR_002571,,"Homo sapiens small nucleolar RNA, C/D box 58A (SNORD58A), small nuclear RNA.",,
18,uc002vbj.3,['G1330.1'],,uc002vbj.3,chr2,+,207026951,207027083,207026951,207026951,1,"207026951,","207027083,",uc002vbj.3,,42225,uc002vbj.3,NR_002590,,,SNORA41,NR_002590,,"Homo sapiens small nucleolar RNA, H/ACA box 41 (SNORA41), small nucleolar RNA.",,
19,uc002hjc.3,['G1077.1'],['G1246.1'],uc002hjc.3,chr17,+,33474835,33516364,33475282,33513578,20,"33474835,33475282,33475991,33477066,33479911,33481592,33482314,33486393,33491013,33495079,33496855,33497132,33498340,33501260,33502986,33504035,33504513,33507577,33510445,33513317,","33474929,33475450,33476028,33477242,33480001,33481760,33482483,33486564,33491185,33495380,33496950,33497274,33498481,33501388,33503053,33504149,33504629,33507695,33510601,33516364,",Q8IWX7-3,uc002hjc.3,30617,uc002hjc.3,NM_001267052,Q8IWX7-3,Q8IWX7-3,UNC45B,NM_001267052,NP_001253981,"Homo sapiens unc-45 homolog B (C. elegans) (UNC45B), transcript variant 3, mRNA.",,
20,uc021qdx.1,['G357.1'],,uc021qdx.1,chr11,+,12695968,12966284,12785779,12958769,13,"12695968,12696955,12785725,12883796,12886384,12901254,12902551,12903442,12904547,12923486,12946458,12951720,12958655,","12696381,12697108,12785981,12883861,12886447,12901389,12902598,12903504,12904672,12923660,12946599,12951873,12966284,",P28347,uc021qdx.1,11366,uc021qdx.1,NM_021961,P28347,TEAD1_HUMAN,TEAD1,NM_021961,NP_068780,"Homo sapiens TEA domain family member 1 (SV40 transcriptional enhancer factor) (TEAD1), mRNA.",,
21,uc002tng.1,['G1299.1'],['G1520.1'],uc002tng.1,chr2,-,122159084,122407052,122159198,122363471,26,"122159084,122161942,122165046,122168441,122182714,122187648,122203024,122204912,122205851,122206528,122208488,122209365,122215262,122216415,122217555,122218676,122220107,122227383,122260742,122273240,122283420,122285374,122286252,122287822,122363276,122406947,","122159248,122162010,122165291,122168545,122182882,122187753,122203072,122205083,122205901,122206696,122208566,122209425,122215333,122216551,122217701,122218769,122220181,122227536,122260810,122273338,122283496,122285466,122286356,122287901,122363756,122407052,",B7ZLX3,uc002tng.1,43959,uc002tng.1,AX746802,B7ZLX3,B7ZLX3_HUMAN,CLASP1,,,"Homo sapiens cytoplasmic linker associated protein 1 (CLASP1), transcript variant 4, mRNA.",,
22,uc002tzv.3,['G1425.1'],,uc002tzv.3,chr2,+,159313475,159537940,159389696,159537189,22,"159313475,159389691,159433782,159459581,159477501,159477742,159481389,159488264,159490581,159497138,159498997,159514642,159517844,159519408,159519783,159522924,159526231,159530188,159530394,159533250,159535092,159536940,","159313730,159389828,159433895,159459616,159477633,159477933,159481939,159488453,159490801,159497271,159499211,159514826,159517962,159519600,159519957,159523075,159526427,159530273,159530512,159533379,159535166,159537940,",Q99569,uc002tzv.3,41679,uc002tzv.3,NM_003628,Q99569,PKP4_HUMAN,PKP4,NM_003628,NP_003619,"Homo sapiens plakophilin 4 (PKP4), transcript variant 1, mRNA.",,
23,uc003zpe.2,['G2426.1'],,uc003zpe.2,chr9,-,21454266,21559697,21454266,21454266,4,"21454266,21476897,21477167,21559487,","21455943,21477034,21477291,21559697,",uc003zpe.2,,76031,uc003zpe.2,NR_027054,,,MIR31HG,NR_027054,,"Homo sapiens MIR31 host gene (non-protein coding) (MIR31HG), non-coding RNA.",,
24,uc010meo.3,['G2360.1'],,uc010meo.3,chr8,-,141541263,141645646,141542142,141645605,18,"141541263,141542514,141549418,141551262,141554311,141557566,141559212,141561401,141565994,141566265,141567187,141568583,141569493,141570472,141572551,141582910,141595217,141645583,","141542251,141542714,141549553,141551457,141554402,141557726,141559397,141561535,141566117,141566385,141567335,141568671,141569628,141570609,141572733,141583031,141595410,141645646,",Q9UKV8-2,uc010meo.3,74177,uc010meo.3,NM_001164623,Q9UKV8-2,Q9UKV8-2,AGO2,NM_001164623,NP_001158095,"Homo sapiens argonaute RISC catalytic component 2 (AGO2), transcript variant 2, mRNA.",,
25,uc002jto.3,['G1099.1'],['G1277.1'],uc002jto.3,chr17,+,75137004,75213181,75139678,75210105,17,"75137004,75138727,75139648,75186884,75187262,75189502,75190758,75192283,75196565,75199651,75201357,75202310,75202809,75205423,75208031,75209395,75209999,","75137136,75138832,75139741,75187034,75187394,75189631,75190993,75192393,75196755,75199740,75201428,75202482,75202944,75205558,75208283,75209574,75213181,",Q59HE8,uc002jto.3,31722,uc002jto.3,NM_003003,Q59HE8,Q59HE8_HUMAN,SEC14L1,NM_003003,NP_001137473,"Homo sapiens SEC14-like 1 (S. cerevisiae) (SEC14L1), transcript variant 1, mRNA.",,
26,uc001nvs.3,['G526.1' 'G529.1'],['G601.1' 'G602.1' 'G603.1' 'G604.1' 'G605.1' 'G605.2'],uc001nvs.3,chr11,-,62619459,62623217,62619459,62619459,10,"62619459,62620282,62620546,62621023,62621272,62621489,62621990,62622359,62622604,62622895,","62620153,62620311,62620587,62621062,62621305,62621536,62622023,62622410,62622680,62623217,",uc001nvs.3,,14393,uc001nvs.3,BC063571,,,SNHG1,,,"Homo sapiens small nucleolar RNA host gene 1 (non-protein coding) (SNHG1), non-coding RNA.",,
27,uc001tqk.4,['G654.1'],,uc001tqk.4,chr12,+,110719031,110788897,110719594,110784275,20,"110719031,110720408,110720517,110729824,110734403,110760796,110764194,110765357,110770401,110770985,110771816,110777085,110777307,110778463,110780032,110781036,110782690,110783053,110783805,110784005,","110719712,110720426,110720600,110729929,110734542,110760877,110764280,110765822,110770490,110771088,110771948,110777208,110777526,110778799,110780253,110781239,110782776,110783187,110783923,110788897,",P16615,uc001tqk.4,17094,uc001tqk.4,NM_170665,P16615,AT2A2_HUMAN,ATP2A2,NM_170665,NP_733765,"Homo sapiens ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 (ATP2A2), transcript variant b, mRNA.",,
28,uc003iha.3,['G1792.1'],,uc003iha.3,chr4,+,134070469,134112732,134071295,134111315,5,"134070469,134075461,134076071,134084131,134111295,","134073926,134075520,134076178,134084437,134112732,",Q9P2E7,uc003iha.3,55233,uc003iha.3,NM_032961,Q9P2E7,PCD10_HUMAN,PCDH10,NM_032961,NP_116586,"Homo sapiens protocadherin 10 (PCDH10), transcript variant 1, mRNA.",,
29,uc011lfa.2,['G2293.1' 'G2294.1'],['G2679.1' 'G2680.1'],uc011lfa.2,chr8,-,70584567,70745404,70584567,70584567,5,"70584567,70588843,70591612,70594418,70744001,","70585561,70588908,70591854,70594578,70745404,",uc011lfa.2,,73647,uc011lfa.2,BC144618,,,SLCO5A1,,,"Homo sapiens solute carrier organic anion transporter family, member 5A1 (SLCO5A1), transcript variant 3, mRNA.",,
30,uc003hiy.3,['G1731.1'],['G2018.1'],uc003hiy.3,chr4,-,76781025,76823681,76781025,76781025,18,"76781025,76785592,76787341,76788465,76793177,76794279,76797439,76802483,76804078,76804318,76805746,76808004,76809366,76811109,76812800,76813003,76817423,76823382,","76782073,76785680,76787671,76788572,76793320,76794465,76797826,76803138,76804228,76804355,76805913,76808051,76809484,76811285,76812858,76813131,76817557,76823681,",uc003hiy.3,,56144,uc003hiy.3,BX648754,,,PPEF2,,,"Homo sapiens protein phosphatase, EF-hand calcium binding domain 2 (PPEF2), mRNA.",,
31,uc004cde.1,['G2407.1'],['G2781.1' 'G2783.1'],uc004cde.1,chr9,+,136215068,136218280,136215098,136218221,8,"136215068,136215776,136216405,136216766,136217094,136217451,136217856,136218116,","136215101,136215897,136216555,136216907,136217174,136217582,136217926,136218280,",P62424,uc004cde.1,75640,uc004cde.1,NM_000972,P62424,RL7A_HUMAN,RPL7A,NM_000972,NP_000963,"Homo sapiens ribosomal protein L7a (RPL7A), mRNA.",,
32,uc001oyr.1,['G486.1' 'G486.2' 'G486.3'],['G543.1'],uc001oyr.1,chr11,+,77532207,77611760,77553542,77611732,6,"77532207,77552064,77553524,77580767,77587995,77611616,","77532287,77552106,77553674,77580863,77588095,77611760,",K4DI89,uc001oyr.1,12616,uc001oyr.1,AF092136,K4DI89,K4DI89_HUMAN,AAMDC,NM_024684,NP_078960,"Homo sapiens adipogenesis associated, Mth938 domain containing (AAMDC), mRNA.",,
33,uc001vbf.4,['G768.1'],['G856.1'],uc001vbf.4,chr13,-,46916136,46961635,46917519,46952088,15,"46916136,46918875,46919581,46923420,46924247,46930566,46933620,46935575,46936672,46937249,46942176,46942867,46946075,46952024,46961268,","46917632,46918966,46919735,46923482,46924486,46930631,46933766,46935708,46936733,46937348,46942384,46942950,46946345,46952140,46961635,",Q9H714-3,uc001vbf.4,20266,uc001vbf.4,BC043488,Q9H714-3,Q9H714-3,KIAA0226L,NM_025113,NP_079389,"Homo sapiens KIAA0226-like (KIAA0226L), mRNA.",,
34,uc031slc.1,['G1925.1'],,uc031slc.1,chr5,-,133307565,133442104,133308461,133328703,11,"133307565,133309481,133311561,133316419,133326545,133326692,133327996,133328636,133410455,133441153,133441575,","133308553,133309539,133311712,133316647,133326598,133326845,133328046,133328709,133410581,133441321,133442104,",P21796,uc031slc.1,59534,uc031slc.1,AK122953,P21796,VDAC1_HUMAN,VDAC1,NM_003374,NP_003365,"Homo sapiens voltage-dependent anion channel 1 (VDAC1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.",,
35,uc003bxf.4,['G1658.1'],,uc003bxf.4,chr3,-,12625099,12705700,12626012,12660220,17,"12625099,12626345,12626620,12627179,12629089,12632296,12633206,12641189,12641650,12641886,12645634,12647699,12650264,12650731,12653448,12660013,12705311,","12626156,12626480,12626752,12627298,12629136,12632473,12633291,12641307,12641778,12641914,12645788,12647798,12650422,12650834,12653561,12660246,12705700,",P04049,uc003bxf.4,52160,uc003bxf.4,NM_002880,P04049,RAF1_HUMAN,RAF1,NM_002880,NP_002871,"Homo sapiens v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1), mRNA.",,
36,uc011byq.2,['G1725.1'],,uc011byq.2,chr4,+,39699663,39784410,39699947,39780054,5,"39699663,39739039,39747371,39779301,39779979,","39700010,39739133,39747430,39779430,39784410,",B4DIZ2,uc011byq.2,54539,uc011byq.2,AK295846,B4DIZ2,B4DIZ2_HUMAN,UBE2K,NM_001111113,,"Homo sapiens ubiquitin-conjugating enzyme E2K (UBE2K), transcript variant 1, mRNA.",,
37,uc003dff.3,['G1614.1'],['G1860.1'],uc003dff.3,chr3,+,52719935,52728510,52720807,52728291,15,"52719935,52720784,52721261,52721517,52722124,52723089,52724607,52724960,52725557,52726887,52727202,52727423,52727647,52728052,52728208,","52720071,52720843,52721399,52721631,52722208,52723222,52724720,52725087,52725645,52727062,52727345,52727560,52727823,52728119,52728510,",NP_996562,uc003dff.3,50770,uc003dff.3,NM_206826,Q9BVP2,GNL3_HUMAN,GNL3,NM_206826,NP_996562,"Homo sapiens guanine nucleotide binding protein-like 3 (nucleolar) (GNL3), transcript variant 3, mRNA.",,
38,uc010xrw.2,['G1170.1'],,uc010xrw.2,chr19,+,34856031,34893318,34856171,34890941,17,"34856031,34857249,34857687,34859487,34868639,34869838,34870422,34872370,34884152,34884632,34884818,34887205,34887485,34890111,34890460,34890623,34890805,","34856293,34857340,34857756,34859607,34868786,34869910,34870467,34872424,34884213,34884676,34884971,34887335,34887562,34890240,34890536,34890690,34893318,",B4DE36,uc010xrw.2,36486,uc010xrw.2,AK293446,B4DE36,B4DE36_HUMAN,GPI,NM_001184722,NP_001171651,"Homo sapiens glucose-6-phosphate isomerase (GPI), transcript variant 2, mRNA.",,
39,uc010vwl.1,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc010vwl.1,chr17,+,16342300,16373962,16342300,16342300,7,"16342300,16342640,16343498,16344387,16366146,16366477,16373615,","16342374,16342728,16343567,16344444,16366255,16366561,16373962,",uc010vwl.1,,30234,uc010vwl.1,NR_027177,,,C17orf76-AS1,NR_027177,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 21, non-coding RNA.",,
40,uc001eim.4,['G175.1'],['G251.1'],uc001eim.4,chr1,-,120492742,120612317,120493116,120548117,14,"120492742,120496165,120497662,120502014,120506196,120508075,120508998,120510055,120510699,120512133,120529582,120539619,120547951,120611947,","120493460,120496311,120497855,120502125,120506430,120508189,120509112,120510244,120510855,120512367,120529705,120539955,120548211,120612317,",D2WEZ3,uc001eim.4,5904,uc001eim.4,AK307843,D2WEZ3,D2WEZ3_HUMAN,NOTCH2,,,"Homo sapiens notch 2 (NOTCH2), transcript variant 2, mRNA.",,
41,uc001emn.4,['G51.1'],['G107.1'],uc001emn.4,chr1,+,145209110,145285912,145248856,145282031,5,"145209110,145248812,145273184,145281368,145281954,","145209436,145248894,145273444,145281704,145285912,",Q7Z3S9,uc001emn.4,2134,uc001emn.4,NM_203458,Q7Z3S9,NT2NL_HUMAN,NOTCH2NL,NM_203458,NP_982283,"Homo sapiens notch 2 N-terminal like (NOTCH2NL), mRNA.",,
42,uc001tql.4,['G654.1'],,uc001tql.4,chr12,+,110719031,110788897,110719594,110788110,21,"110719031,110720408,110720517,110729824,110734403,110760796,110764194,110765357,110770401,110770985,110771816,110777085,110777307,110778463,110780032,110781036,110782690,110783053,110783805,110784005,110788096,","110719712,110720426,110720600,110729929,110734542,110760877,110764280,110765822,110770490,110771088,110771948,110777208,110777526,110778799,110780253,110781239,110782776,110783187,110783923,110784126,110788897,",P16615-2,uc001tql.4,17093,uc001tql.4,NM_001681,P16615-2,P16615-2,ATP2A2,NM_001681,NP_001672,"Homo sapiens ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 (ATP2A2), transcript variant a, mRNA.",,
43,uc001jop.1,['G248.1'],['G347.1'],uc001jop.1,chr10,+,70514928,70514995,70514928,70514928,1,"70514928,","70514995,",uc001jop.1,,8371,uc001jop.1,NR_003076,,,SNORD98,NR_003076,,"Homo sapiens small nucleolar RNA, C/D box 98 (SNORD98), small nucleolar RNA.",,
44,uc002yjl.3,['G1544.1' 'G1544.2'],['G1780.1' 'G1780.2'],uc002yjl.3,chr21,+,15399741,15516860,15399741,15399741,3,"15399741,15456270,15515829,","15399918,15456465,15516860,",uc002yjl.3,,47136,uc002yjl.3,BC024173,,,BC024173,,,"Homo sapiens, clone IMAGE:4102980, mRNA.",,
45,uc010jfa.3,['G1854.1'],['G2157.1'],uc010jfa.3,chr5,+,138609440,138614818,138609440,138609440,4,"138609440,138611809,138614015,138614739,","138609850,138611839,138614185,138614818,",uc010jfa.3,,58001,uc010jfa.3,AJ224170,,,SNHG4,,,"Homo sapiens small nucleolar RNA host gene 4 (non-protein coding) (SNHG4), transcript variant 2, non-coding RNA.",,
46,uc001eil.3,['G175.1'],['G251.1'],uc001eil.3,chr1,-,120477735,120612317,120478041,120612020,22,"120477735,120479904,120480479,120483177,120484148,120491036,120491629,120493346,120496165,120497662,120502014,120506196,120508075,120508998,120510055,120510699,120512133,120529582,120539619,120547951,120572528,120611947,","120478227,120480089,120480633,120483379,120484377,120491189,120491749,120493460,120496311,120497855,120502125,120506430,120508189,120509112,120510244,120510855,120512367,120529705,120539955,120548211,120572610,120612317,",NP_001186930,uc001eil.3,5902,uc001eil.3,NM_001200001,Q6IQ50,Q6IQ50_HUMAN,NOTCH2,NM_001200001,NP_001186930,"Homo sapiens notch 2 (NOTCH2), transcript variant 2, mRNA.",,
47,uc010xrv.2,['G1170.1'],,uc010xrv.2,chr19,+,34855644,34893318,34855814,34890941,18,"34855644,34856164,34857249,34857687,34859487,34868639,34869838,34870422,34872370,34884152,34884632,34884818,34887205,34887485,34890111,34890460,34890623,34890805,","34855924,34856293,34857340,34857756,34859607,34868786,34869910,34870467,34872424,34884213,34884676,34884971,34887335,34887562,34890240,34890536,34890690,34893318,",P06744-2,uc010xrv.2,36483,uc010xrv.2,NM_001184722,P06744-2,P06744-2,GPI,NM_001184722,NP_001171651,"Homo sapiens glucose-6-phosphate isomerase (GPI), transcript variant 1, mRNA.",,
48,uc001emm.4,['G51.1'],['G107.1'],uc001emm.4,chr1,+,145209110,145285912,145248856,145282031,5,"145209110,145248820,145273184,145281368,145281954,","145209436,145248894,145273444,145281704,145285912,",Q7Z3S9,uc001emm.4,2172,uc001emm.4,BC090943,Q7Z3S9,NT2NL_HUMAN,NOTCH2NL,NM_203458,NP_982283,"Homo sapiens notch 2 N-terminal like (NOTCH2NL), mRNA.",,
49,uc021yto.1,['G1967.1'],['G2308.1'],uc021yto.1,chr6,+,28949975,28950047,28949975,28949975,1,"28949975,","28950047,",uc021yto.1,,81555,uc021yto.1,,,,TRNA_Glu,,,transfer RNA Glu (anticodon CTC),,chr6.tRNA77-GluCTC
50,uc003kyp.2,['G1925.1'],,uc003kyp.2,chr5,-,133307565,133340657,133308461,133328703,9,"133307565,133309481,133311561,133316419,133326545,133326692,133327996,133328636,133340337,","133308553,133309539,133311712,133316647,133326598,133326845,133328046,133328706,133340657,",P21796,uc003kyp.2,59531,uc003kyp.2,NR_036624,P21796,VDAC1_HUMAN,VDAC1,NM_003374,NP_003365,"Homo sapiens voltage-dependent anion channel 1 (VDAC1), transcript variant 3, non-coding RNA.",,
