,transcript,IonXpress_SFPQ_N,IonXpress_NONO_N,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
10,uc001jop.1,['G347.1'],['G248.1'],uc001jop.1,chr10,+,70514928,70514995,70514928,70514928,1,"70514928,","70514995,",uc001jop.1,,8371,uc001jop.1,NR_003076,,,SNORD98,NR_003076,,"Homo sapiens small nucleolar RNA, C/D box 98 (SNORD98), small nucleolar RNA.",,
11,uc022btp.1,['G2940.1'],,uc022btp.1,chrX,-,18693028,18693101,18693028,18693028,1,"18693028,","18693101,",uc022btp.1,,81624,uc022btp.1,,,,TRNA_Val,,,transfer RNA Val (anticodon TAC),,chrX.tRNA4-ValTAC
12,uc002uqf.3,['G1537.1' 'G1538.1'],,uc002uqf.3,chr2,+,189157389,189460652,189342429,189458738,12,"189157389,189248489,189342385,189348157,189387482,189393823,189405907,189433965,189434754,189448991,189452581,189458666,","189157839,189248616,189342457,189348219,189387554,189393922,189406045,189434082,189434847,189449130,189452676,189460652,",Q9UBP9,uc002uqf.3,41968,uc002uqf.3,NR_045562,Q9UBP9,GULP1_HUMAN,GULP1,NM_016315,NP_057399,"Homo sapiens GULP, engulfment adaptor PTB domain containing 1 (GULP1), transcript variant 4, non-coding RNA.",,
13,uc003mbl.1,['G2268.1'],,uc003mbl.1,chr5,-,171288555,171433877,171295638,171433506,13,"171288555,171295613,171296732,171297751,171299875,171303288,171305014,171318470,171326007,171326917,171337575,171341346,171433461,","171291105,171295800,171296811,171297862,171299994,171303538,171305133,171318608,171326098,171327104,171337801,171341409,171433877,",Q9UKB1-3,uc003mbl.1,60012,uc003mbl.1,NM_033644,Q9UKB1-3,Q9UKB1-3,FBXW11,NM_033644,NP_387448,"Homo sapiens F-box and WD repeat domain containing 11 (FBXW11), transcript variant 2, mRNA.",,
14,uc004edx.3,['G2961.1'],,uc004edx.3,chrX,-,79924986,80065233,79932107,79985434,41,"79924986,79936839,79937495,79937963,79939508,79940960,79942361,79943567,79945266,79945465,79946551,79947321,79947587,79948438,79951406,79952237,79955455,79958978,79960176,79962925,79964926,79971655,79973071,79974987,79978060,79979246,79980431,79984250,79985414,79986586,79988954,79989616,79990625,79991486,79999530,80001067,80047352,80064037,80064511,80064744,80064939,","79932862,79936998,79937593,79938127,79939661,79941035,79942502,79943624,79945345,79945591,79946672,79947477,79947649,79948550,79951489,79952362,79955563,79959092,79960345,79963002,79965076,79971749,79973258,79975155,79978286,79979375,79980566,79984404,79985519,79986710,79988995,79989717,79990696,79991587,79999752,80001228,80047451,80064097,80064541,80064803,80065233,",Q6RI45,uc004edx.3,79874,uc004edx.3,AY497050,Q6RI45,BRWD3_HUMAN,BRWD3,,,"Homo sapiens bromodomain and WD repeat domain containing 3 (BRWD3), mRNA.",,
15,uc021qjo.1,['G591.1'],,uc021qjo.1,chr11,-,59318101,59318174,59318101,59318101,1,"59318101,","59318174,",uc021qjo.1,,81166,uc021qjo.1,,,,TRNA_Val,,,transfer RNA Val (anticodon TAC),,chr11.tRNA17-ValTAC
16,uc003dlq.3,['G1945.1' 'G1945.2' 'G1945.3'],,uc003dlq.3,chr3,+,63428752,63602597,63429121,63601157,5,"63428752,63466507,63542218,63594800,63600899,","63429145,63466632,63542417,63594992,63602597,",Q8TBG9,uc003dlq.3,50865,uc003dlq.3,NM_144642,Q8TBG9,SYNPR_HUMAN,SYNPR,NM_144642,NP_653243,"Homo sapiens synaptoporin (SYNPR), transcript variant 2, mRNA.",,
17,uc010sii.2,['G682.1'],,uc010sii.2,chr12,+,20848288,20906320,20852510,20905413,16,"20848288,20848669,20852485,20854251,20858882,20864319,20868072,20870065,20874737,20876023,20885842,20890040,20893117,20896238,20903608,20905239,","20848546,20848741,20852639,20854393,20859015,20864444,20868219,20870164,20874983,20876188,20886038,20890206,20893302,20896303,20903829,20906320,",Q5JPA4,uc010sii.2,15939,uc010sii.2,NM_001145946,Q5JPA4,Q5JPA4_HUMAN,SLCO1C1,NM_001145946,NP_001139416,"Homo sapiens solute carrier organic anion transporter family, member 1C1 (SLCO1C1), transcript variant 1, mRNA.",,
18,uc002fuj.3,['G1226.1' 'G1227.1'],,uc002fuj.3,chr17,-,2225981,2240678,2227489,2239721,15,"2225981,2227797,2227982,2228597,2232636,2233808,2234240,2235462,2236254,2236850,2237765,2238553,2238804,2239330,2239624,","2227668,2227872,2228123,2228714,2232769,2233919,2234403,2235653,2236418,2237010,2238190,2238688,2239024,2239434,2240678,",Q2NL82,uc002fuj.3,32033,uc002fuj.3,NM_018128,Q2NL82,TSR1_HUMAN,TSR1,NM_018128,NP_060598,"Homo sapiens TSR1, 20S rRNA accumulation, homolog (S. cerevisiae) (TSR1), mRNA.",,
19,uc010sik.2,['G682.1'],,uc010sik.2,chr12,+,20848398,20906320,20858965,20905413,13,"20848398,20858882,20864319,20868072,20870065,20874737,20876023,20885842,20890040,20893117,20896238,20903608,20905239,","20848741,20859015,20864444,20868219,20870164,20874983,20876188,20886038,20890206,20893302,20896303,20903829,20906320,",F5GZD6,uc010sik.2,15942,uc010sik.2,NM_001145944,F5GZD6,F5GZD6_HUMAN,SLCO1C1,NM_001145944,NP_001139416,"Homo sapiens solute carrier organic anion transporter family, member 1C1 (SLCO1C1), transcript variant 4, mRNA.",,
20,uc003tmk.4,['G2569.1'],,uc003tmk.4,chr7,-,45022626,45026236,45022626,45022626,2,"45022626,45023420,","45022921,45026236,",uc003tmk.4,,70602,uc003tmk.4,AK096179,,,SNHG15,,,"Homo sapiens small nucleolar RNA host gene 15 (non-protein coding) (SNHG15), non-coding RNA.",,
21,uc011byf.1,['G2008.1'],,uc011byf.1,chr4,+,37979029,38091738,37979120,38091737,12,"37979029,38016129,38019974,38022211,38023206,38029408,38037208,38045982,38047437,38051238,38055819,38091552,","37979150,38016594,38020064,38022316,38023339,38029500,38037319,38046111,38047524,38051519,38055959,38091738,",Q86TI0,uc011byf.1,54506,uc011byf.1,AK303574,Q86TI0,TBCD1_HUMAN,TBC1D1,NM_015173,NP_055988,"Homo sapiens TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1 (TBC1D1), transcript variant 2, mRNA.",,
22,uc010gia.1,['G1708.1'],['G1488.1' 'G1488.2'],uc010gia.1,chr20,+,47896849,47896952,47896849,47896849,1,"47896849,","47896952,",uc010gia.1,,45894,uc010gia.1,NR_003695,,,SNORD12B,NR_003695,,"Homo sapiens small nucleolar RNA, C/D box 12B (SNORD12B), small nucleolar RNA.",,
23,uc011byd.2,['G2008.1'],,uc011byd.2,chr4,+,37892704,38140796,37903716,38138956,21,"37892704,37903623,38016129,38019974,38022211,38023206,38029408,38037208,38045982,38047437,38051238,38053519,38054726,38055819,38091552,38097549,38104619,38117330,38126731,38134704,38138755,","37892969,37904133,38016594,38020064,38022316,38023339,38029500,38037319,38046111,38047524,38051519,38053681,38054846,38055959,38091738,38097711,38104778,38117575,38126752,38134878,38140796,",E9PGH8,uc011byd.2,54501,uc011byd.2,NM_001253912,E9PGH8,E9PGH8_HUMAN,TBC1D1,NM_001253912,NP_001240841,"Homo sapiens TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1 (TBC1D1), transcript variant 2, mRNA.",,
24,uc031skh.1,['G2221.1'],['G1908.1'],uc031skh.1,chr5,+,74062815,74072737,74063185,74072476,5,"74062815,74064755,74065038,74066455,74072428,","74063188,74064943,74065189,74066635,74072737,",NP_001258594,uc031skh.1,57507,uc031skh.1,NM_001271665,O95478,NSA2_HUMAN,NSA2,NM_001271665,NP_001258594,"Homo sapiens NSA2 ribosome biogenesis homolog (S. cerevisiae) (NSA2), transcript variant 2, mRNA.",,
25,uc003ehx.4,['G1969.1'],,uc003ehx.4,chr3,-,124944512,125094198,124951184,125032484,9,"124944512,124953054,124996569,124997967,125006946,125032151,125042152,125050001,125093945,","124952783,124953173,124996653,124998091,125007072,125032500,125042288,125050082,125094198,",Q9UQR1,uc003ehx.4,53361,uc003ehx.4,NM_021964,Q9UQR1,ZN148_HUMAN,ZNF148,NM_021964,NP_068799,"Homo sapiens zinc finger protein 148 (ZNF148), mRNA.",,
26,uc002pnz.4,"['G1386.1' 'G1387.1' 'G1387.2' 'G1387.3' 'G1388.1' 'G1388.2' 'G1389.1'
 'G1389.2' 'G1389.3']",['G1181.1' 'G1182.1' 'G1183.1' 'G1184.1' 'G1184.2'],uc002pnz.4,chr19,+,49990810,49995564,49993760,49995072,8,"49990810,49993106,49993488,49993731,49994035,49994296,49994681,49994985,","49990901,49993169,49993554,49993833,49994121,49994356,49994804,49995564,",NP_001257420,uc002pnz.4,37232,uc002pnz.4,NR_073024,P40429,RL13A_HUMAN,RPL13A,NM_001270491,NP_001257420,"Homo sapiens ribosomal protein L13a (RPL13A), transcript variant 3, non-coding RNA.",,
27,uc002ipd.3,['G1264.1'],,uc002ipd.3,chr17,-,47676245,47755525,47677739,47700172,11,"47676245,47679226,47684611,47685235,47688641,47696342,47696595,47699307,47700094,47753256,47755294,","47677884,47679369,47684734,47685291,47688819,47696470,47696747,47699429,47700238,47753378,47755525,",O43791,uc002ipd.3,33488,uc002ipd.3,NM_003563,O43791,SPOP_HUMAN,SPOP,NM_003563,NP_003554,"Homo sapiens speckle-type POZ protein (SPOP), transcript variant 2, mRNA.",,
28,uc003ehz.4,['G1969.1'],,uc003ehz.4,chr3,-,124944512,125094198,124951184,125032484,10,"124944512,124953054,124996569,124997967,125006946,125032151,125033780,125042152,125050001,125093945,","124952783,124953173,124996653,124998091,125007072,125032500,125033897,125042288,125050082,125094198,",Q9UQR1,uc003ehz.4,53365,uc003ehz.4,BC050260,Q9UQR1,ZN148_HUMAN,ZNF148,NM_021964,NP_068799,"Homo sapiens zinc finger protein 148 (ZNF148), mRNA.",,
29,uc004edv.3,['G2961.1'],,uc004edv.3,chrX,-,79924986,80065233,79932107,79985434,43,"79924986,79936839,79937495,79937963,79939508,79940960,79942361,79943567,79945266,79945465,79946551,79947321,79947587,79948438,79951406,79952237,79955455,79958978,79960176,79962925,79964926,79971655,79973071,79974987,79978060,79979246,79980431,79984250,79985414,79986586,79988954,79989616,79990625,79991486,79999530,80001067,80001644,80047352,80049120,80064037,80064511,80064744,80064939,","79932862,79936998,79937593,79938127,79939661,79941035,79942502,79943624,79945345,79945591,79946672,79947477,79947649,79948550,79951489,79952362,79955563,79959092,79960345,79963002,79965076,79971749,79973258,79975155,79978286,79979375,79980566,79984404,79985519,79986710,79988995,79989717,79990696,79991587,79999752,80001228,80001679,80047451,80049271,80064097,80064541,80064803,80065233,",Q6RI45,uc004edv.3,79872,uc004edv.3,AY497052,Q6RI45,BRWD3_HUMAN,BRWD3,,,"Homo sapiens bromodomain and WD repeat domain containing 3 (BRWD3), mRNA.",,
30,uc001yks.2,['G926.1' 'G926.2'],,uc001yks.2,chr14,+,102430864,102517135,102431028,102516900,78,"102430864,102442048,102445655,102446055,102446700,102449355,102449718,102452023,102453789,102455039,102457863,102460520,102461009,102461322,102461517,102463371,102466325,102466622,102467290,102467481,102467871,102468873,102469128,102470854,102471098,102471378,102472224,102473344,102474514,102476179,102476612,102477076,102478211,102478650,102481441,102482192,102482685,102483102,102483424,102483719,102484787,102486229,102489087,102492910,102493510,102493719,102493955,102494273,102495875,102496155,102496498,102498608,102499401,102499605,102500312,102500661,102502825,102504796,102505034,102505337,102505748,102505974,102506572,102506934,102507910,102508349,102508564,102508720,102508971,102510211,102510610,102510931,102514153,102514852,102515776,102516050,102516407,102516771,","102431284,102442136,102445829,102446311,102446887,102449627,102449946,102453100,102453969,102455189,102458010,102460661,102461186,102461433,102461637,102463611,102466481,102466736,102467401,102467691,102468018,102469040,102469302,102471020,102471287,102471573,102472507,102473445,102474674,102476423,102476796,102477289,102478450,102478807,102481669,102482423,102482826,102483336,102483631,102483841,102484953,102486393,102489217,102493044,102493625,102493881,102494170,102494478,102496049,102496275,102496619,102498804,102499519,102499821,102500525,102500789,102502979,102504943,102505185,102505591,102505883,102506069,102506747,102507010,102508071,102508461,102508625,102508844,102509085,102510382,102510828,102511035,102514365,102515006,102515919,102516219,102516535,102517135,",Q14204,uc001yks.2,22012,uc001yks.2,NM_001376,Q14204,DYHC1_HUMAN,DYNC1H1,NM_001376,NP_001367,"Homo sapiens dynein, cytoplasmic 1, heavy chain 1 (DYNC1H1), mRNA.",,
31,uc002uqd.3,['G1537.1' 'G1538.1'],,uc002uqd.3,chr2,+,189156395,189460652,189342429,189458688,13,"189156395,189248489,189342385,189348157,189387482,189393823,189405907,189433965,189434754,189448991,189452581,189454466,189458666,","189156893,189248616,189342457,189348219,189387554,189393922,189406045,189434082,189434847,189449130,189452676,189454477,189460652,",B8ZZ72,uc002uqd.3,41965,uc002uqd.3,NM_001252668,B8ZZ72,B8ZZ72_HUMAN,GULP1,NM_001252668,NP_001239597,"Homo sapiens GULP, engulfment adaptor PTB domain containing 1 (GULP1), transcript variant 2, mRNA.",,
32,uc021tqw.1,['G1163.1' 'G1164.1' 'G1164.2' 'G1165.1' 'G1165.2'],['G1012.1' 'G1013.1' 'G1013.2'],uc021tqw.1,chr17,+,16342300,16345340,16342300,16342300,5,"16342300,16342640,16343424,16344387,16344681,","16342374,16342728,16343567,16344444,16345340,",uc021tqw.1,,30236,uc021tqw.1,NR_045029,,,C17orf76-AS1,NR_045029,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 32, non-coding RNA.",,
33,uc010uiu.2,['G980.1'],,uc010uiu.2,chr15,-,65442783,65477563,65442783,65442783,14,"65442783,65444767,65445884,65447119,65448029,65449115,65450083,65451024,65454941,65456366,65458968,65471271,65472381,65477412,","65443251,65444874,65445977,65447419,65448194,65449270,65450248,65451089,65454983,65456526,65459123,65471389,65472542,65477563,",uc010uiu.2,,25912,uc010uiu.2,BC144166,,,CLPX,,,"Homo sapiens ClpX caseinolytic peptidase X homolog (E. coli) (CLPX), mRNA.",,
34,uc021tqu.1,['G1163.1' 'G1164.1' 'G1164.2'],['G1012.1'],uc021tqu.1,chr17,+,16342300,16344525,16342300,16342300,5,"16342300,16342640,16342841,16343498,16344387,","16342374,16342728,16343017,16343567,16344525,",uc021tqu.1,,30227,uc021tqu.1,NR_045026,,,C17orf76-AS1,NR_045026,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 29, non-coding RNA.",,
35,uc011bfm.2,['G1945.1' 'G1945.2' 'G1945.3'],,uc011bfm.2,chr3,+,63428752,63602597,63428752,63428752,4,"63428752,63466507,63594800,63600899,","63429145,63466632,63594992,63602597,",uc011bfm.2,,50869,uc011bfm.2,AK315958,,,SYNPR,,,"Homo sapiens synaptoporin (SYNPR), transcript variant 2, mRNA.",,
36,uc011kpn.1,['G2601.1'],,uc011kpn.1,chr7,-,132658358,132766828,132658736,132766697,5,"132658358,132659928,132709305,132754901,132766616,","132658784,132660046,132709387,132754989,132766828,",G3V1K1,uc011kpn.1,71540,uc011kpn.1,AK294071,G3V1K1,G3V1K1_HUMAN,CHCHD3,NM_017812,NP_060282,"Homo sapiens coiled-coil-helix-coiled-coil-helix domain containing 3 (CHCHD3), mRNA.",,
37,uc001hwl.3,['G324.1'],,uc001hwl.3,chr1,-,235272657,235292256,235275378,235292030,5,"235272657,235277082,235283132,235285640,235291909,","235275423,235277225,235283214,235285687,235292256,",Q15388,uc001hwl.3,7602,uc001hwl.3,NM_014765,Q15388,TOM20_HUMAN,TOMM20,NM_014765,NP_055580,"Homo sapiens translocase of outer mitochondrial membrane 20 homolog (yeast) (TOMM20), nuclear gene encoding mitochondrial protein, mRNA.",,
38,uc021pcv.1,['G281.1'],,uc021pcv.1,chr1,-,161439546,161439618,161439546,161439546,1,"161439546,","161439618,",uc021pcv.1,,81128,uc021pcv.1,,,,TRNA_Gly,,,transfer RNA Gly (anticodon TCC),,chr1.tRNA70-GlyTCC
39,uc003ngl.3,['G2390.1'],,uc003ngl.3,chr6,-,26123694,26124132,26123751,26124132,1,"26123694,","26124132,",P62807,uc003ngl.3,62469,uc003ngl.3,NM_003526,P62807,H2B1C_HUMAN,HIST1H2BC,NM_003526,NP_003517,"Homo sapiens histone cluster 1, H2bc (HIST1H2BC), mRNA.",,
40,uc021xav.1,['G1956.1' 'G1957.1'],,uc021xav.1,chr3,-,81538849,81810950,81539557,81810668,16,"81538849,81548260,81584345,81586061,81627075,81630315,81635242,81640187,81643058,81691931,81695542,81698006,81698946,81719988,81754594,81810525,","81539614,81548378,81584476,81586246,81627247,81630426,81635341,81640315,81643174,81692141,81695633,81698142,81699072,81720104,81754764,81810950,",NP_000149,uc021xav.1,53052,uc021xav.1,NM_000158,Q59ET0,Q59ET0_HUMAN,GBE1,NM_000158,NP_000149,"Homo sapiens glucan (1,4-alpha-), branching enzyme 1 (GBE1), mRNA.",,
41,uc001htu.2,['G162.1'],,uc001htu.2,chr1,+,230397615,230417875,230398346,230415204,5,"230397615,230398667,230400986,230410190,230415048,","230398411,230398751,230401113,230410310,230417875,",NP_004472,uc001htu.2,3751,uc001htu.2,BC050583,,,GALNT2,NM_004481,NP_004472,"Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2), mRNA.",,
42,uc001tfp.3,['G718.1'],,uc001tfp.3,chr12,+,98987402,98995778,98987756,98995306,8,"98987402,98987756,98989504,98991633,98992299,98993732,98994948,98995145,","98987518,98987913,98989626,98991813,98992481,98993905,98995059,98995778,",Q00325-2,uc001tfp.3,16890,uc001tfp.3,BC011574,Q00325-2,Q00325-2,SLC25A3,NM_213611,NP_998776,"Homo sapiens solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 (SLC25A3), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.",,
43,uc003ysj.3,['G2650.1'],['G2262.1' 'G2263.1'],uc003ysj.3,chr8,+,128806802,128867566,128806802,128806802,3,"128806802,128808139,128867400,","128806980,128808254,128867566,",uc003ysj.3,,72899,uc003ysj.3,M34429,,,MYC,,,Sequence 854 from Patent WO2010139812.,,
44,uc001doa.4,['G235.1' 'G235.2' 'G235.3' 'G235.4' 'G235.5' 'G235.6'],['G168.1' 'G168.2' 'G168.3' 'G168.4' 'G168.5'],uc001doa.4,chr1,-,91726322,91870426,91726846,91866639,39,"91726322,91727797,91728037,91731573,91733301,91739268,91740286,91742184,91742538,91778905,91779513,91781371,91781657,91781947,91784634,91784849,91788506,91788649,91790231,91808986,91812985,91816294,91817105,91818062,91818607,91818812,91840914,91841083,91843581,91843959,91844619,91845660,91846468,91850743,91851131,91859649,91861849,91866568,91870354,","91726916,91727949,91728149,91731664,91733412,91739372,91740366,91742300,91742619,91779052,91779617,91781529,91781741,91782033,91784766,91784947,91788554,91788756,91790323,91809067,91813033,91816428,91817200,91818208,91818709,91818856,91841003,91841284,91843740,91844037,91844771,91845793,91846539,91850791,91851391,91859959,91861962,91866666,91870426,",A2PYH4,uc001doa.4,5550,uc001doa.4,NM_001017975,A2PYH4,HFM1_HUMAN,HFM1,NM_001017975,NP_001017975,"Homo sapiens HFM1, ATP-dependent DNA helicase homolog (S. cerevisiae) (HFM1), mRNA.",,
45,uc001fpz.4,['G268.1'],,uc001fpz.4,chr1,-,156711898,156722024,156713240,156721895,6,"156711898,156713443,156713954,156714799,156715088,156721829,","156713247,156713670,156714140,156714938,156715165,156722024,",Q5SZ08,uc001fpz.4,6582,uc001fpz.4,NM_001126051,Q5SZ08,Q5SZ08_HUMAN,HDGF,NM_001126051,NP_001119523,"Homo sapiens hepatoma-derived growth factor (HDGF), transcript variant 3, mRNA.",,
46,uc021rst.1,['G943.1' 'G943.2' 'G943.3'],['G843.1' 'G843.2'],uc021rst.1,chr14,-,50329266,50329567,50329266,50329266,1,"50329266,","50329567,",uc021rst.1,,81955,uc021rst.1,,,,Metazoa_SRP,,,Rfam model RF00017 hit found at contig region AL627171.1/120155-119855,RF00017,
47,uc010vwk.2,['G1163.1' 'G1164.1' 'G1164.2' 'G1165.1' 'G1165.2'],['G1012.1' 'G1013.1' 'G1013.2'],uc010vwk.2,chr17,+,16342300,16345340,16342300,16342300,5,"16342300,16342640,16342973,16343498,16344681,","16342374,16342728,16343017,16343567,16345340,",uc010vwk.2,,30238,uc010vwk.2,NR_027165,,,C17orf76-AS1,NR_027165,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 9, non-coding RNA.",,
48,uc009xue.3,['G423.1'],,uc009xue.3,chr10,-,95066185,95141153,95066185,95066185,35,"95066185,95069776,95070290,95072776,95076470,95079628,95082834,95085582,95088519,95089420,95092977,95093514,95095677,95097571,95099909,95101669,95103612,95107373,95109564,95110953,95111169,95111421,95113567,95115384,95116431,95119589,95121208,95123717,95126148,95129401,95132686,95134519,95137079,95139619,95140975,","95066758,95069924,95070400,95072967,95076570,95079770,95082930,95085722,95088668,95089591,95093069,95093670,95095803,95097670,95099921,95101726,95103689,95107539,95109726,95111052,95111328,95111603,95113645,95115493,95116605,95119735,95121314,95123832,95126312,95129533,95132842,95134712,95137186,95139744,95141153,",uc009xue.3,,10420,uc009xue.3,AL096713,,,MYOF,,,"Homo sapiens myoferlin (MYOF), transcript variant 2, mRNA.",,
49,uc002vpu.4,['G1665.1' 'G1665.2'],['G1448.1' 'G1448.2'],uc002vpu.4,chr2,-,229888688,230136057,229890347,230135759,2,"229888688,230135729,","229890824,230136057,",Q7Z2X4-3,uc002vpu.4,44937,uc002vpu.4,CU691825,Q7Z2X4-3,Q7Z2X4-3,PID1,NM_017933,NP_060403,"Homo sapiens phosphotyrosine interaction domain containing 1 (PID1), transcript variant 2, mRNA.",,
