,Absolute Distance,Cluster,Dataset,FeatureSubtype,FeatureSubtypeIndex,FeatureType,FeatureTypeIndex,Relative Distance
81410,3164.0,G958.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,17.0,Splice Junction ,35.0,0.027822722476257476
77899,20273.0,G739.2,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,7.0,Splice Junction ,15.0,0.13652771230385885
32842,1439.0,G1625.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.013036900134989446
18594,214.0,G739.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,12.0,0.0508313539192399
25577,241.0,G1168.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.0294189453125
18512,211.0,G737.1,IonXpress_SFPQ_N,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to Coding_Region,1.0,Splice Junction ,6.0,0.011999545040946314
29510,0.0,G1424.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,5.0,Splice Junction ,11.0,0.0
91013,485.0,G1599.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,18.0,0.07149174528301887
27361,38.0,G1287.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,19.0,Splice Junction ,38.0,0.0019102196752626551
85989,523.0,G1285.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,21.0,Splice Junction ,42.0,0.014537469424060485
89831,5430.0,G1505.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,24.0,0.2017762253353647
83998,8727.0,G1140.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.380178610324548
37465,149.0,G1917.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,6.0,Splice Junction ,13.0,0.023557312252964428
37549,194.0,G1917.2,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,6.0,Splice Junction ,13.0,0.030671936758893282
67537,48094.0,G296.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,18.0,0.08643501827762581
88647,1631.0,G1398.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.014776361445564826
32778,2195.0,G1622.3,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.01988602904538001
53403,3734.0,G2961.1,IonXpress_SFPQ_N,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,9.0,Splice Junction ,74.0,0.026781039540404655
23038,629.0,G1086.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,3.0,0.08393381371764078
4929,14044.0,G214.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,10.0,Splice Junction ,21.0,0.08864650596173632
52206,119.0,G2783.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,5.0,Splice Junction ,11.0,0.03704856787048568
66807,162.0,G248.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,24.0,0.003225035833731486
18202,300.0,G718.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,4.0,Splice Junction ,8.0,0.03581661891117478
84999,54.0,G1183.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,4.0,Splice Junction ,9.0,0.011358855700462769
101119,7988.0,G2294.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,3.0,Splice Junction ,7.0,0.0496651889801476
77636,26098.0,G716.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,29.0,Splice Junction ,58.0,0.0819117983999297
75091,5192.0,G621.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,2.0,0.016489711398290686
75121,5104.0,G621.2,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,2.0,0.01621022476442135
100886,267.0,G2290.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,2.0,0.00952754781615758
100890,215.0,G2290.2,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,2.0,0.00767199543248644
88631,1902.0,G1396.3,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.01723153860788737
64846,61.0,G197.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,9.0,0.014925373134328358
88615,1968.0,G1396.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.017829478433397657
15711,57.0,G605.2,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,18.0,0.01516764236295902
15647,83.0,G605.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,18.0,0.022086216072378925
89335,148.0,G1451.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,3.0,Splice Junction ,6.0,0.015184159228480558
42916,29.0,G2280.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,2.0,Splice Junction ,5.0,0.004155323112193724
99787,68.0,G2157.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,1.0,Splice Junction ,5.0,0.02702702702702703
41038,70.0,G2157.2,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,6.0,0.013015991074748977
91141,404.0,G1628.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,4.0,0.011431158395110634
40767,56.0,G2155.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,5.0,0.004592045920459205
27575,115.0,G1289.2,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,16.0,0.0015037790621649188
27623,154.0,G1289.3,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,16.0,0.002013756309333891
30759,17934.0,G1537.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,2.0,Splice Junction ,3.0,0.05913678885983453
33136,52.0,G1678.1,IonXpress_SFPQ_N,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,1.0,Splice Junction ,22.0,0.0037172063764386305
45042,85.0,G2401.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,10.0,Splice Junction ,20.0,0.006720430107526882
45468,34.0,G2401.2,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,10.0,Splice Junction ,20.0,0.002688172043010753
11898,0.0,G506.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
101203,2784.0,G2334.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.23784707390004273
74971,71858.0,G617.2,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,2.0,0.22821989246116564
74941,71891.0,G617.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,2.0,0.22832469994886664
32730,2568.0,G1620.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.023265295028945723
32746,2475.0,G1620.3,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.022422743456635773
32738,2513.0,G1620.2,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.022767011841020483
11912,0.0,G508.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
11914,0.0,G508.2,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
102901,7689.0,G2542.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,27.0,Splice Junction ,54.0,0.013078510182663702
347,682.0,G42.2,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.13777777777777778
423,654.0,G42.3,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.1321212121212121
271,720.0,G42.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.14545454545454545
52738,380.0,G2836.2,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.0457721031076849
46452,12.0,G2411.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,5.0,Splice Junction ,10.0,0.0007026995373894712
98565,8354.0,G2068.2,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,1.0,Splice Junction ,1.0,0.20980988020192382
98573,8375.0,G2068.3,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,1.0,Splice Junction ,1.0,0.2103372931160057
57714,170.0,G40.2,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,5.0,0.019107564347532878
98557,8204.0,G2068.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,1.0,Splice Junction ,1.0,0.20604264510133863
74520,70593.0,G607.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.22420227209929397
71900,53.0,G528.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,16.0,0.014103246407663651
11998,0.0,G524.2,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
11996,0.0,G524.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
97783,13976.0,G2030.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,7.0,Splice Junction ,14.0,0.025310082924205574
11988,0.0,G522.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
